,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,5100.0,943.5,1096.5,662.9999999999999,612.0,841.5,1198.5
1,64948.5,10684.5,17161.5,9690.0,9256.5,9256.5,13081.5
2,40162.5,6094.500000000001,10556.999999999998,5967.0,4717.5,4539.0,6706.5
3,25423.5,3187.5,5941.5,2677.5,2091.0,2626.5000000000005,4233.0
4,31620.0,4462.5,6859.5,4258.5,4156.5,3468.0000000000005,5763.0
5,20706.0,2958.0,7165.5,3366.0,2855.9999999999995,2703.0,4054.5
6,19252.5,3009.0,4156.5,3111.0,2244.0,1836.0000000000002,3952.5
7,16447.5,2499.0,4003.5,2269.5,1479.0,1632.0000000000002,2499.0
8,40697.99999999999,7063.5,10965.0,5967.0,5814.0,5584.5,8007.0
9,19252.5,2601.0,4156.5,3111.0,2550.0,2626.5000000000005,3901.4999999999995
10,35674.5,5941.5,8466.0,4539.0,4972.5,4513.5,6757.5
11,14535.0,2295.0,3672.0000000000005,1785.0,1861.5,1708.5,2907.0
12,7063.5,1377.0,2371.5,918.0000000000001,1377.0,1427.9999999999998,1836.0000000000002
13,25933.5,3901.4999999999995,6145.499999999999,3544.5,3111.0,2524.5,4666.5
14,15427.5,2779.5,4182.0,2116.5,2499.0,2116.5,3009.0
15,13617.0,2167.5,3085.5,1734.0000000000002,1555.5,1122.0,2422.5
16,36337.5,4666.5,8593.5,4335.0,4131.0,4003.5,6375.0
17,59797.5,7930.5,13311.0,7369.500000000001,7242.0,6094.500000000001,10837.5
18,31569.0,4692.0,7726.5,4335.0,4105.5,3697.4999999999995,6579.0
19,4156.5,586.5,969.0,816.0000000000001,637.5,586.5,867.0000000000001
20,4794.0,459.00000000000006,1020.0,510.0,713.9999999999999,688.5,688.5
21,45798.0,7344.000000000001,11143.5,6171.0,5431.5,5100.0,8542.5
22,51510.0,7650.0,13311.0,6859.5,6273.0,6859.5,9792.0
23,2448.0,356.99999999999994,586.5,382.49999999999994,280.5,739.5,688.5
24,26979.000000000004,4258.5,6834.0,4284.0,4080.0,3544.5,5584.5
25,31620.0,5176.5,8236.5,3825.0,3850.5,3952.5,5967.0
26,229.50000000000003,153.0,306.0,127.5,204.00000000000003,255.0,229.50000000000003
27,3111.0,306.0,739.5,484.5,408.00000000000006,484.5,662.9999999999999
28,7267.5,1351.5,1479.0,943.5,816.0000000000001,764.9999999999999,1427.9999999999998
29,37306.5,5661.000000000001,10786.5,5610.0,5788.5,4411.5,7650.0
30,356.99999999999994,127.5,127.5,178.49999999999997,127.5,127.5,178.49999999999997
31,18462.0,2626.5000000000005,3646.5,1938.0,2040.0,1912.5,3187.5
32,11016.0,1581.0,2805.0,1708.5,1427.9999999999998,1504.5,2371.5
33,1402.5,153.0,637.5,255.0,331.49999999999994,306.0,459.00000000000006
34,5176.5,867.0000000000001,1529.9999999999998,892.5,739.5,688.5,1096.5
35,8211.0,1581.0,2244.0,1351.5,1300.5,1122.0,1683.0
36,2728.5,637.5,969.0,637.5,356.99999999999994,586.5,561.0
37,25372.5,4411.5,6859.5,3621.0,3595.5,3187.5,5635.5
38,9154.5,1300.5,2193.0,1479.0,1581.0,739.5,1224.0
39,48730.49999999999,7318.5,12239.999999999998,6681.0,4896.0,5431.5,8797.5
40,25806.0,3876.0,5916.0,3059.9999999999995,2983.5,2550.0,4182.0
41,31569.0,5151.0,8338.5,4437.0,3187.5,3748.5,5176.5
42,2907.0,561.0,612.0,382.49999999999994,433.50000000000006,408.00000000000006,764.9999999999999
43,3366.0,535.5,1147.5,535.5,433.50000000000006,662.9999999999999,1173.0
44,178.49999999999997,25.500000000000004,178.49999999999997,51.00000000000001,127.5,25.500000000000004,178.49999999999997
45,36745.5,5814.0,8746.5,4921.5,3978.0,4386.0,7216.5
46,10123.499999999998,2142.0,3187.5,1836.0000000000002,1504.5,1861.5,2422.5
47,26086.5,2983.5,6171.0,2703.0,2932.5,2397.0,3799.5
48,34960.5,4717.5,8160.0,3952.5,3468.0000000000005,3366.0,5865.0
49,15529.5,2014.5,3723.0,1529.9999999999998,1300.5,1147.5,2422.5
50,70456.5,10506.000000000002,17059.5,8899.5,9511.5,8517.0,14688.000000000002
51,27591.0,3799.5,6553.499999999999,3901.4999999999995,3315.0,3238.5,4692.0
52,3544.5,637.5,1096.5,535.5,662.9999999999999,535.5,1173.0
53,65024.99999999999,9537.0,16294.5,9511.5,8236.5,8491.5,12214.5
54,25423.5,4105.5,6069.0,2728.5,3085.5,2677.5,4360.5
55,5559.0,586.5,1071.0,739.5,586.5,561.0,1122.0
56,54723.0,7956.0,14637.0,8160.0,7522.5,7394.999999999999,11985.0
57,22567.5,3085.5,5635.5,2601.0,2167.5,2575.5,4335.0
58,42916.5,6910.5,10888.500000000002,6604.5,5457.0,4972.5,8746.5
59,14331.0,1836.0000000000002,3009.0,1555.5,1377.0,1887.0,2703.0
60,49674.0,7114.5,12112.5,6043.5,5763.0,5661.000000000001,9409.5
61,31008.0,4488.0,8262.0,4386.0,4386.0,3544.5,5329.5
62,14713.5,2116.5,3238.5,2218.5,1555.5,1657.5,2855.9999999999995
63,54213.0,8415.0,14739.000000000002,8364.0,7599.0,7624.5,11347.5
64,17085.0,2269.5,4743.0,2983.5,2167.5,2320.5,3315.0
65,408.00000000000006,51.00000000000001,178.49999999999997,280.5,127.5,178.49999999999997,255.0
66,229.50000000000003,102.00000000000001,204.00000000000003,229.50000000000003,153.0,178.49999999999997,102.00000000000001
67,41539.5,6426.0,10353.0,5151.0,5380.5,4590.0,7548.0
68,20731.5,2779.5,4233.0,2397.0,2193.0,2499.0,3697.4999999999995
69,34374.0,5508.0,10225.5,4513.5,4360.5,4156.5,6630.0
70,255.0,102.00000000000001,255.0,178.49999999999997,127.5,229.50000000000003,102.00000000000001
71,12928.5,1912.5,3289.5,2065.5,1759.5,1683.0,3136.5
72,9715.5,1887.0,3672.0000000000005,1198.5,1581.0,1504.5,2295.0
73,24990.0,3595.5,7165.5,3340.5,2575.5,3366.0,4921.5
74,662.9999999999999,102.00000000000001,178.49999999999997,306.0,255.0,306.0,331.49999999999994
75,16753.5,2167.5,3799.5,1734.0000000000002,1810.5,1785.0,2626.5000000000005
76,23026.5,3697.4999999999995,6145.499999999999,3289.5,2830.5000000000005,2244.0,4411.5
77,382.49999999999994,102.00000000000001,280.5,306.0,102.00000000000001,102.00000000000001,229.50000000000003
78,5329.5,816.0000000000001,1325.9999999999998,688.5,637.5,739.5,892.5
79,69232.5,10072.500000000002,17646.0,10098.0,9129.0,8338.5,13106.999999999998
80,30855.0,4972.5,8364.0,4641.0,3927.0,4029.0,6426.0
