,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,439645.5,205428.00000000003,416797.50000000006,332545.5,329154.0,341674.5,502298.99999999994
1,475728.0,223278.0,442017.0,352665.0,350217.0,366001.5,537234.0
2,450355.5,208615.49999999997,421668.0,334942.5,335299.5,345780.0,506684.99999999994
3,474274.5,220345.5,443011.5,353787.0,353914.5,363961.5,532057.5
4,415777.5,197089.5,390991.5,305592.0,306357.0,312681.0,470449.49999999994
5,422739.0,200404.49999999997,396805.5,313063.5,311202.0,328185.0,478966.5
6,488223.0,230214.0,456577.49999999994,367608.0,366103.5,374289.0,550621.5
7,479145.00000000006,221008.5,439645.5,352690.49999999994,352461.0,364930.49999999994,533817.0
8,472591.5,218025.00000000003,437121.0,345244.5,344556.0,358147.5,527926.5
9,459382.5,219427.5,433117.5,347769.0,344199.0,358606.5,523336.5
10,492481.5,229015.5,453237.0,365313.0,364089.0,375003.0,553120.5
11,479858.99999999994,224706.0,441532.5,354960.0,357051.0,365338.5,543175.5
12,465859.5,216724.5,429496.5,347463.0,346086.0,356056.5,524229.00000000006
13,457062.0,212823.00000000003,421464.0,339762.0,335376.0,349018.5,514794.0
14,495490.5,225522.0,453441.0,363604.5,362049.0,375844.5,552559.5
15,493756.5,226134.0,456195.0,359524.5,364140.0,374824.5,543966.0
16,412844.99999999994,195330.0,389002.5,300007.5,306331.5,318342.0,467364.0
17,464584.5,219759.00000000003,435488.99999999994,341215.50000000006,349095.0,356770.5,524076.0
18,459637.5,218101.5,430312.5,340578.00000000006,343153.5,353914.5,526065.0
19,404736.0,190383.0,372759.0,300033.0,294984.0,305821.5,455787.0
20,479706.0,222844.5,443139.0,357637.50000000006,354756.0,364420.5,527824.5
21,474784.5,217056.0,435412.50000000006,350064.00000000006,350446.5,362992.5,529558.5
22,487305.0,227664.0,456781.50000000006,364905.0,362099.99999999994,369953.99999999994,547204.5
23,455965.5,214098.00000000003,425952.0,341139.0,339201.0,348049.5,512779.5
24,457801.5,214098.00000000003,427686.0,336829.50000000006,335987.99999999994,345652.5,516171.0
25,474453.0,219529.5,437452.5,350089.5,355163.99999999994,367633.5,533944.5
26,449310.0,211726.50000000003,421999.5,337747.50000000006,331551.0,347947.49999999994,506124.0
27,488172.0,221722.5,447397.5,359218.5,360034.5,368704.5,543609.0
28,456730.5,212058.0,420903.00000000006,337441.5,335937.0,352206.0,511683.0
29,409683.0,190867.5,378573.0,297381.0,301282.5,304699.5,455481.0
30,473892.0,221849.99999999997,444669.0,353455.5,348687.0,362916.0,529150.5
31,417945.0,195049.5,383749.50000000006,308167.5,304954.5,317449.5,471954.0
32,467261.99999999994,217158.0,433984.5,347463.0,343536.0,355852.5,527773.5
33,463564.5,221161.5,433959.0,346162.5,344454.0,354067.5,527416.5
34,485698.5,222640.5,451120.50000000006,362125.5,359397.0,371076.0,543405.0
35,433602.0,205938.0,410320.5,321963.0,323544.0,332545.5,488580.0
36,458311.5,214531.5,427176.0,336727.5,337671.0,349375.5,518006.99999999994
37,454257.0,213511.5,428349.0,339711.0,343841.99999999994,352052.99999999994,516196.5
38,492430.5,224859.0,459051.00000000006,363298.50000000006,363196.5,375691.5,548785.5
39,437605.50000000006,206473.5,411799.5,323136.0,328210.5,338461.49999999994,497632.5
40,467109.0,218458.5,436891.5,345933.0,347794.5,359779.5,523234.5
41,491206.5,225598.49999999997,452752.50000000006,359830.50000000006,357153.0,370209.0,545190.0
42,474402.0,218739.0,439645.5,354297.0,347947.49999999994,363171.0,530833.5
43,460861.5,216240.0,429343.5,340425.0,344913.0,354220.5,524764.5
