,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,39168.0,168657.0,342566.99999999994,273360.0,270682.5,281265.0,413839.5
1,40468.5,184416.0,364828.5,289246.5,287716.5,300772.5,442858.5
2,38964.0,172584.0,347182.5,275119.5,276267.0,283917.0,417282.0
3,40239.0,181381.5,364292.99999999994,290751.0,290955.0,299956.5,438651.0
4,36924.0,162333.0,321504.0,249976.50000000003,250818.0,257626.5,386529.0
5,37077.0,164730.0,326094.0,257116.5,255561.0,268846.5,393210.0
6,42304.5,189031.5,376456.5,301231.5,300645.0,308014.5,454180.5
7,40239.0,182070.0,360544.49999999994,291312.0,288328.5,301333.5,441328.5
8,38964.0,180590.99999999997,359269.49999999994,284529.0,283254.0,294754.5,435157.5
9,39346.5,180514.5,356133.0,285268.5,281596.5,295366.5,432658.49999999994
10,44038.5,188878.5,374008.5,300925.5,298273.5,309774.0,457470.0
11,41463.0,185461.5,362584.5,292587.0,294168.0,299778.0,448392.0
12,39601.5,178602.0,353659.5,285625.5,284376.0,293046.0,433245.0
13,38989.5,175006.5,345831.0,278944.5,275706.0,287181.0,424014.0
14,42916.5,186609.0,372503.99999999994,298018.5,297024.0,308422.5,455532.0
15,41743.5,186303.0,375258.00000000006,295392.0,299931.0,308499.0,448647.00000000006
16,36006.0,161185.5,318724.5,245641.5,252220.5,261783.0,385177.5
17,40697.99999999999,181024.5,359703.0,280678.5,287104.5,293046.0,431868.0
18,40188.0,179469.0,353481.0,279939.0,281928.0,290649.0,434673.0
19,35419.5,157156.5,305413.5,245871.0,241000.5,251047.5,376456.5
20,41131.49999999999,183625.5,366282.0,294372.0,291567.0,300109.5,435208.49999999994
21,40493.99999999999,178398.0,358530.0,287589.0,288532.5,298707.0,437631.0
22,41233.5,187425.0,376737.0,300262.5,298324.5,305592.0,452089.5
23,39346.5,175797.0,349911.0,280729.5,278766.0,285370.5,422841.0
24,39729.0,175593.0,351517.5,276802.5,276037.5,285013.5,426717.0
25,41667.0,180769.5,359881.5,286722.0,292051.5,303246.0,441252.0
26,39117.0,174088.5,348355.5,276955.5,273028.5,285498.0,418404.0
27,43554.00000000001,182580.0,367760.99999999994,294882.0,296973.0,303832.5,450100.5
28,39958.5,174190.5,345652.5,277338.0,276267.0,289884.0,421642.5
29,36210.0,156162.0,311049.0,243244.5,247911.0,249390.0,375079.5
30,39831.0,182707.5,365772.00000000006,288711.0,286084.5,299421.0,436534.5
31,35011.5,160446.0,316200.0,252552.0,250359.0,260151.0,388059.0
32,39882.0,179086.5,357000.00000000006,286594.5,281877.0,291643.5,435131.99999999994
33,40417.5,182401.5,356847.0,282922.5,282667.5,291082.5,435795.0
34,42075.0,182631.0,370438.5,298656.0,294678.0,305796.0,449003.99999999994
35,38301.0,169651.50000000003,337416.0,263797.5,264307.5,273742.5,402186.0
36,40697.99999999999,177862.50000000003,351466.5,276700.5,276879.0,287920.5,427456.5
37,40290.00000000001,176358.0,351976.50000000006,277644.0,282846.0,290725.5,426156.0
38,41488.5,184824.0,378828.0,298426.5,297967.5,309672.0,452803.5
39,37204.5,169906.5,339379.50000000006,265276.5,269229.0,278307.0,410014.49999999994
40,40723.50000000001,179112.0,359754.0,284376.0,285702.0,296769.0,431026.50000000006
41,42431.99999999999,186634.5,372146.99999999994,295545.0,292179.0,303985.5,450278.99999999994
42,40902.0,179851.5,362125.5,291159.0,285498.0,300033.0,439084.5
43,39550.5,177888.0,352435.5,279199.5,283917.0,290725.5,433245.0
44,39321.0,176740.5,348355.5,277848.0,274125.0,286263.0,421413.0
45,38938.5,177174.0,360264.0,284172.0,281112.0,294142.5,434137.50000000006
46,42559.5,189719.99999999997,377986.5,301792.5,299472.0,312222.0,459663.0
47,36184.5,165775.5,326604.0,258365.99999999997,261043.5,270631.5,396397.5
48,39015.0,177786.0,352410.0,278536.5,283866.0,286084.5,428221.5
49,42406.5,194208.0,387115.5,312961.5,311100.0,317755.5,470908.5
50,39729.0,178602.0,361437.0,289272.0,287410.5,298809.0,439824.0
51,39270.0,173654.99999999997,349120.5,275731.5,276675.0,283789.5,423427.5
52,41182.5,184594.5,371994.0,297432.0,300160.5,304929.0,448417.5
53,41131.49999999999,179902.5,360289.5,286824.0,282463.5,297916.5,434570.99999999994
54,40137.0,184058.99999999997,371688.0,299727.0,299421.0,306000.0,450126.0
55,41820.0,189516.0,376660.5,303118.5,304164.0,315996.0,454384.49999999994
