,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,482179.5,220294.5,448060.5,357713.99999999994,356949.0,367225.5,527136.0
1,492787.5,228939.0,459407.99999999994,367302.0,365746.5,371356.5,537132.0
2,471036.0,219861.0,440206.5,355368.00000000006,352869.0,359167.5,520429.5
3,493578.0,223686.00000000003,451324.5,366384.0,359499.0,368347.5,534811.5
4,449896.5,210885.0,418404.0,336064.5,337135.5,348151.50000000006,497964.0
5,438141.0,203974.5,410601.0,324819.0,320178.0,331959.0,482052.00000000006
6,433959.0,205275.0,407566.5,325405.5,327216.0,331780.5,482765.99999999994
7,434010.0,202291.5,410524.5,325533.0,319974.0,328032.0,480802.5
8,479884.5,226414.49999999997,448392.0,361462.49999999994,358428.0,369393.0,531139.5
9,448085.99999999994,209151.0,419704.49999999994,340629.0,335121.0,342388.5,500820.0
10,492507.0,227409.0,458107.5,369291.0,369035.99999999994,377246.99999999994,544323.0
11,450381.0,209559.0,425314.5,337645.5,333718.49999999994,341419.5,495439.5
12,433117.5,204127.5,413661.0,328312.5,325380.0,333820.5,480802.5
13,466497.0,219402.0,438625.5,352155.0,350140.49999999994,359524.5,511861.5
14,457189.5,209890.49999999997,429751.50000000006,342720.0,338206.5,349656.0,505843.5
15,492277.5,227358.0,457903.5,364012.49999999994,365007.0,371841.0,535449.0
16,455430.0,211012.5,422025.0,337518.0,339558.0,347565.0,502579.49999999994
17,404073.0,190637.99999999997,380817.0,300951.0,296004.0,311380.5,445204.5
18,474657.0,218535.0,445587.0,353404.5,352257.00000000006,358453.5,521016.0
19,464380.5,214684.5,432684.0,348967.5,343944.0,349350.0,504415.50000000006
20,351543.0,168861.0,333591.0,261196.49999999997,263593.5,266755.5,384336.0
21,477793.5,226848.0,448672.5,353328.0,353863.5,366103.5,519537.0
22,451707.0,207876.0,420418.5,340272.0,332010.0,343077.0,501457.5
23,478788.0,220345.5,448800.0,356286.0,356464.5,363859.5,524178.0
24,468027.0,216444.0,434086.5,348177.0,344071.5,349681.5,514462.50000000006
25,473968.5,222028.5,441838.5,354450.00000000006,351951.0,362941.50000000006,523540.5
26,459204.0,216444.0,429267.0,339889.5,345168.0,355011.0,502962.0
27,489804.0,222360.0,448927.50000000006,359320.5,354883.49999999994,365721.0,527136.0
28,482664.0,225190.5,450916.49999999994,362686.5,358555.50000000006,371458.5,529125.0
29,499978.5,230826.0,467313.0,374646.0,372657.0,381556.50000000006,543762.0
30,437503.5,203592.0,410014.49999999994,321988.5,327114.0,328236.0,480190.5
31,458566.5,215704.5,433270.5,348126.0,345066.0,354220.5,511836.0
32,459739.5,216724.5,431256.0,343102.5,342057.0,352767.0,506812.5
33,471367.49999999994,218943.00000000003,436611.0,358683.0,354909.0,362967.0,517777.5
34,418302.0,197905.5,396703.50000000006,315945.0,312043.5,317704.5,466752.0
35,497734.5,232560.0,461039.99999999994,371050.5,373167.0,379082.99999999994,540651.0
36,479068.5,221671.49999999997,446836.5,360340.5,355342.5,367225.5,530859.0
