,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,437019.0,216546.0,434647.5,343179.0,343893.0,361768.5,520633.5
1,424473.0,212083.49999999997,423249.0,331117.5,336548.99999999994,345040.50000000006,508801.50000000006
2,438676.49999999994,218764.5,437962.50000000006,344811.0,350217.0,354832.5,525325.5
3,435081.0,218713.5,435616.5,346290.0,344479.49999999994,356898.0,525427.5
4,427890.0,212007.0,421362.0,335172.0,336931.5,345601.50000000006,512295.0
5,356413.5,179902.5,357586.5,274635.0,273717.0,286543.5,424677.0
6,449845.5,222793.5,440181.0,356719.49999999994,354245.99999999994,368500.5,532695.0
7,367557.0,189006.0,367531.5,286645.5,289119.0,298069.5,444567.0
8,376533.00000000006,189388.5,384055.5,296361.0,298197.0,308805.0,457521.0
9,369979.5,186685.5,375691.5,289272.0,288022.5,301333.5,445510.5
10,441966.0,220932.0,438549.0,345321.00000000006,347361.0,363477.0,528895.5
11,382806.0,193978.5,382525.5,297177.0,300364.5,309493.5,463998.0
12,430083.0,214072.5,431077.5,335503.5,340782.0,349834.5,514743.00000000006
13,438829.5,220396.50000000003,439696.5,347539.5,350370.0,363681.0,526345.5
14,408765.0,204102.0,413762.99999999994,325533.0,328567.5,338436.0,498091.5
15,395709.00000000006,199384.5,400732.50000000006,315129.0,316659.0,325099.5,485469.0
16,424779.0,213129.0,423733.50000000006,335121.0,335911.50000000006,350191.5,511810.5
17,425595.0,212874.0,421693.5,332392.5,334534.5,345601.50000000006,503650.5
18,331168.50000000006,175185.0,346570.5,266602.5,266475.0,277669.5,409937.99999999994
19,406189.49999999994,204050.99999999997,409836.0,320662.5,322115.99999999994,334050.0,487585.5
20,447678.0,222895.5,445561.5,355419.0,354195.0,367072.5,529609.5
21,418404.0,207238.5,416160.00000000006,331270.5,331780.5,344530.5,502936.5
22,417690.0,209023.5,413992.5,326527.5,329969.99999999994,339303.00000000006,501967.5
23,425391.0,211369.5,419577.0,331423.5,331066.5,344632.5,504441.0
24,376329.0,193621.5,384871.5,297840.0,300670.5,316174.5,459663.0
25,389104.5,194463.0,390099.0,306688.5,305413.5,317398.5,467618.99999999994
26,432480.0,211216.5,422458.50000000006,335987.99999999994,333361.50000000006,351517.5,512040.0
