,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,120819.0,174318.0,345984.0,273028.5,280525.5,292077.0,462085.5
1,117096.0,168376.5,330556.5,251838.0,265353.0,280551.0,440716.5
2,105901.5,153204.0,304776.0,235161.0,244800.0,255867.0,397927.5
3,120232.5,177378.0,354654.0,272110.5,280143.0,296743.5,461881.50000000006
4,109879.50000000001,152413.5,309009.0,233962.5,241000.5,255510.0,404175.0
5,104473.5,154351.5,303501.0,231540.0,238450.5,250002.0,400273.5
6,119186.99999999999,173221.5,338079.0,264562.5,272518.5,286671.0,451401.0
7,116917.5,170671.5,335835.00000000006,262369.5,271549.5,286518.0,445000.5
8,112072.50000000001,163072.50000000003,319821.0,250614.00000000003,255433.5,268132.5,423376.5
9,122298.0,178627.5,352333.49999999994,275859.0,280831.5,291363.0,463947.0
10,123624.0,181152.00000000003,358963.5,274456.5,287691.0,306051.0,469378.5
11,118677.0,172584.0,342516.0,273844.5,275323.5,289348.5,457801.5
12,112990.5,165495.0,332188.5,259437.0,265888.5,279276.0,436509.0
13,119646.00000000001,182707.5,366129.00000000006,282285.0,292689.0,308448.0,481644.0
14,118422.0,169753.5,338104.50000000006,265608.0,269586.0,286875.0,443674.5
15,111435.0,165903.00000000003,324972.0,252373.5,261833.99999999997,276165.0,427456.5
16,116254.5,177786.0,343510.5,268617.0,273538.5,292536.0,458362.5
17,118549.49999999999,173068.5,339609.0,262114.50000000003,268234.5,286135.5,447499.5
18,116076.0,171538.5,338818.49999999994,262930.5,268719.0,287410.5,445255.49999999994
19,117529.5,175618.5,346723.5,264741.0,272926.5,289578.0,450942.0
20,117759.0,172150.5,342261.0,267342.0,272748.0,284580.0,451809.0
21,104142.0,156213.0,302608.5,233146.5,239751.00000000003,255127.5,395147.99999999994
22,124414.5,182911.5,359091.0,286186.5,292000.5,308881.5,474580.5
23,122272.5,179443.5,351951.0,274303.5,281341.5,299038.5,466930.5
24,118447.5,175287.0,344428.5,268234.5,277516.5,295519.5,451834.49999999994
25,116994.0,173833.5,343332.0,263542.5,274176.0,283534.5,452395.50000000006
26,121456.5,175312.5,345831.0,271269.0,278613.0,295978.5,458464.5
27,109905.0,158074.5,311992.5,239343.0,249186.0,260202.0,415191.0
28,111129.0,166107.0,326527.5,254821.5,260304.0,274380.0,430236.0
29,114418.5,170467.50000000003,332749.5,258340.5,261426.0,284478.0,436330.50000000006
30,122680.5,178398.0,357561.0,280015.5,287920.5,303169.5,464049.0
31,101821.5,149022.0,289195.5,221467.5,228658.5,240873.0,382729.5
32,120436.5,175363.5,345321.00000000006,274074.0,279454.5,298681.5,462672.0
33,117096.0,174088.5,344275.5,267954.0,270784.5,287512.5,454308.00000000006
34,118804.5,171589.5,339252.0,265149.0,272671.5,289042.5,454027.50000000006
35,110389.5,162690.0,317832.0,247911.0,253419.0,265557.0,417690.0
36,123879.0,179341.5,356617.5,279888.0,285421.5,300696.0,471903.0
37,113653.5,163608.0,322575.0,253113.0,256708.5,274023.0,426283.50000000006
38,111511.5,165418.5,321325.5,249466.5,252297.0,269611.5,424269.0
39,117096.0,166846.5,331423.5,258876.0,263007.0,282336.0,441099.0
40,124185.0,182095.5,357688.5,277032.0,284656.5,299013.0,466752.0
41,118957.49999999999,175618.5,347361.0,269611.5,271804.5,287640.0,452778.0
42,116433.0,179163.0,348916.5,270963.0,282540.0,300849.0,463564.5
43,110542.5,162409.5,321886.5,251659.5,256479.0,272544.0,427456.5
44,123088.5,180055.50000000003,347488.5,270376.5,283738.5,302251.5,463105.5
45,114571.5,171360.0,333795.0,263236.5,263848.5,281086.5,440410.5
46,116101.5,167407.5,334050.0,258595.5,261094.5,280117.5,437223.0
47,120844.5,177276.0,348891.0,271575.0,277185.0,292842.0,454512.0
48,119671.5,178372.5,345474.0,269407.5,278868.0,290521.5,456450.0
49,118192.5,168810.0,332341.5,255637.50000000003,261018.00000000003,281341.5,437681.99999999994
50,118473.0,180157.5,352920.0,274074.0,279072.0,297100.5,465859.5
51,115311.00000000001,173221.5,336778.5,258901.5,262089.0,283611.0,442424.99999999994
52,123369.0,179086.5,358377.0,278026.5,283560.0,303118.5,473560.49999999994
53,117147.0,169320.0,335962.5,262981.5,271932.0,285880.5,451120.50000000006
54,114801.0,167050.5,325048.5,251149.49999999997,259819.5,276675.0,431664.00000000006
55,124057.5,180871.50000000003,356490.0,277108.5,284835.0,302787.0,468001.5
56,120946.5,178551.0,349273.5,269943.0,278893.5,296335.5,458592.0
57,121150.49999999999,178678.49999999997,348789.00000000006,272620.5,277669.5,294525.0,460045.49999999994
58,100801.5,150883.5,293046.0,220779.0,225751.5,243575.99999999997,380740.5
59,118906.5,173400.0,340578.00000000006,264996.0,274839.0,287716.5,454818.0
60,116535.0,168402.0,325813.5,257652.0,259794.0,277771.5,432377.99999999994
61,114214.50000000001,167382.0,323569.5,252348.00000000003,257881.5,272493.0,426487.5
62,117427.5,175057.5,346927.5,272314.5,282463.5,294882.0,459969.00000000006
63,122859.0,174088.5,350089.5,275374.5,280015.5,300441.0,463284.0
64,117937.5,171615.0,340603.5,265812.0,273436.5,289042.5,452676.0
65,119034.0,177148.5,344607.0,274966.5,276394.5,298095.0,456577.49999999994
66,108400.5,159681.0,314313.0,237991.5,247069.5,263185.5,413253.0
67,129361.5,188470.5,372759.0,295060.5,299523.0,318648.0,495337.5
68,109089.0,159196.5,313599.0,238552.49999999997,244978.5,261936.00000000003,413405.99999999994
69,123445.5,183217.5,354934.5,273819.0,286390.5,294678.0,470857.5
70,114826.5,168555.00000000003,330301.5,252501.0,259411.5,278842.5,435616.5
71,122757.0,176970.0,344938.5,269535.0,281520.0,293887.5,462136.5
72,116076.0,171360.0,333412.5,264282.0,267699.0,284146.5,442960.5
73,124338.0,179367.0,353175.00000000006,274354.5,284044.5,300670.5,462697.5
74,120564.0,175236.0,350319.0,272646.0,278332.5,291006.0,465757.5
75,113934.0,166744.5,327726.0,252297.0,256224.0,273130.5,428323.5
76,121966.5,174930.0,345601.50000000006,269382.0,275145.0,292995.0,461448.0
77,119850.0,173731.5,344428.5,270274.5,275527.5,294015.0,456399.0
78,125689.5,184569.0,360672.0,283713.0,295111.5,309238.5,483760.5
79,118473.0,172533.0,345066.0,267265.5,274686.0,292893.0,453798.0
80,107151.0,159961.49999999997,308983.5,236028.0,247885.5,261961.5,410040.0
81,112327.5,159349.5,317449.5,239470.49999999997,252348.00000000003,266602.5,417307.5
82,116458.5,173476.49999999997,344071.5,264205.5,274915.5,290853.0,450330.0
83,111129.0,161772.0,315358.5,243116.99999999997,250920.0,263542.5,421515.0
84,117631.5,175899.0,341037.0,268285.5,272595.0,287971.5,455710.5
85,124134.0,179979.0,358428.0,279505.5,284911.5,302889.0,468333.0
86,120028.5,181687.49999999997,356821.5,274609.5,282336.0,301639.5,466216.5
87,107304.0,158839.5,310105.5,239343.0,243499.5,255127.5,405093.0
88,115438.5,167382.0,334534.5,262012.49999999997,264690.0,284070.0,441685.5
89,114597.0,164296.5,330378.0,257091.00000000003,259590.0,278536.5,436840.5
90,115489.49999999999,173553.0,336753.0,262165.5,273691.5,285931.5,445663.5
91,117835.5,165546.0,323033.99999999994,254949.0,260049.0,275323.5,427354.5
92,116790.0,174088.5,345448.5,266730.0,270835.5,292740.0,450687.0
93,110211.0,159604.50000000003,316378.5,246355.5,245692.5,261451.5,414834.0
94,114750.0,162588.0,322549.5,251073.00000000003,252781.5,268693.5,428629.5
95,113679.0,168096.00000000003,329205.0,254438.99999999997,260635.5,277108.5,427609.5
96,110874.0,159451.5,313981.5,242913.0,251379.0,267469.5,413890.5
97,124746.0,186787.5,361258.5,286110.0,291031.5,307377.0,479196.0
98,119493.0,170977.5,334050.0,259360.5,266679.0,279786.0,446428.5
99,114138.0,165750.0,324054.0,249798.0,261374.99999999997,271422.0,427329.0
100,107049.00000000001,161057.99999999997,309927.0,237583.5,245871.0,260278.49999999997,413762.99999999994
101,108834.0,157207.5,311278.5,242556.0,244596.0,260635.5,415726.5
102,108273.0,159936.0,307683.0,235033.5,246814.5,258493.5,411493.50000000006
103,118702.5,175312.5,350370.0,269764.5,277491.0,293989.5,460453.5
104,120615.0,175924.5,349885.5,273334.5,278715.0,295162.5,466446.0
105,105672.0,158431.5,307173.0,239394.0,243270.0,257906.99999999997,412156.5
106,123088.5,180820.5,353379.0,275476.5,283891.5,298758.0,459433.5
107,109675.5,160420.49999999997,312171.0,241893.0,248242.50000000003,261604.5,414171.0
108,104346.0,153892.5,308754.0,240669.0,241485.00000000003,256606.5,399942.0
109,117708.0,174547.5,338079.0,264613.5,275833.5,286798.5,448774.5
110,120232.5,174139.5,333361.50000000006,258544.49999999997,269866.5,287028.0,443342.99999999994
111,119289.0,173272.5,339583.5,266475.0,268923.0,287691.0,459510.0
112,115285.5,173145.0,339711.0,262854.0,270070.5,287869.5,438268.5
113,118575.0,174292.49999999997,342133.50000000006,264001.5,274227.0,289170.0,457113.0
114,118906.5,174037.5,344759.99999999994,268897.5,275655.0,293913.0,457827.0
115,118319.99999999999,175287.0,345907.5,272875.5,274660.5,289527.0,461167.5
116,99220.5,148537.5,291541.5,223762.5,227587.5,241408.5,382066.5
117,114851.99999999999,168657.0,331984.5,256377.0,260788.5,274482.0,436534.5
118,123037.5,175440.0,348202.5,273054.0,277618.5,298962.0,459764.99999999994
119,119748.0,178678.49999999997,347437.5,272085.0,278077.5,294856.5,460453.5
120,126862.5,183574.5,360264.0,285625.5,290266.5,310411.5,478022.99999999994
121,120844.5,183090.0,354679.5,279786.0,286186.5,305388.0,473815.5
122,115718.99999999999,170008.49999999997,344734.5,265327.5,272544.0,284784.0,449029.5
123,121303.5,175363.5,347896.5,270835.5,274558.5,292944.0,454180.5
124,111562.5,162129.0,318877.5,251429.99999999997,254107.5,270351.0,423427.5
125,122196.0,178168.5,351645.0,274125.0,280423.5,295953.0,465808.5
126,113832.0,169345.5,327063.00000000006,255484.5,260431.5,281010.0,433831.5
127,123802.50000000001,180106.5,355520.99999999994,279327.0,284146.5,302481.0,463513.49999999994
128,119569.5,179698.5,347641.5,271983.0,282157.5,296896.5,467032.5
129,116356.49999999999,170671.5,338487.0,262471.5,272059.5,286161.0,442272.0
130,123879.0,178474.5,352716.0,276012.0,282744.0,297559.5,461116.5
131,100164.0,148639.5,285957.0,217030.5,223762.5,237150.0,375258.00000000006
132,109522.5,163480.5,318954.0,245616.0,255535.49999999997,270835.5,418429.50000000006
133,114036.0,166795.5,322626.0,249492.0,258850.5,274915.5,429726.0
134,123012.0,183166.5,359218.5,277644.0,286059.0,305388.0,476569.5
135,118447.5,176638.5,349528.5,272722.5,281035.5,297253.5,464253.0
136,123471.0,181611.0,356388.0,278103.0,284733.0,301869.0,471648.00000000006
137,112812.0,164373.0,325201.5,247987.5,256989.0,269382.0,424498.5
138,119136.0,172507.5,342669.0,262752.0,271345.5,284299.5,448085.99999999994
139,113117.99999999999,165673.5,333336.0,256351.5,263772.0,279327.0,432938.99999999994
140,121023.0,173961.0,340297.50000000006,271039.5,276700.5,295417.5,459127.49999999994
141,120003.0,175567.5,345091.5,263058.0,274533.0,290292.0,454920.0
142,117147.0,174369.0,342516.0,263874.0,274558.5,291618.0,449412.0
143,114444.00000000001,167688.0,327445.5,254719.50000000003,257983.5,282106.5,441277.5
144,93228.0,130713.0,256224.0,198135.0,199792.5,214582.5,342516.0
145,124312.5,178933.5,354348.0,275119.5,282183.0,298962.0,472183.5
146,106233.0,156927.0,309034.5,238603.5,244290.0,259309.5,407158.5
147,124261.5,178933.5,357688.5,273742.5,283534.5,300721.5,468154.5
148,117784.5,174012.0,348559.5,269764.5,273768.0,292408.5,463488.0
149,122298.0,179774.99999999997,358581.0,282820.5,288711.0,308856.0,472693.5
150,110695.5,162154.49999999997,319617.0,246279.0,257856.0,267495.0,427584.0
151,121354.5,177072.0,351033.0,271626.0,280959.0,297483.0,468409.5
152,105901.5,152184.0,297942.0,234166.5,235798.5,250945.5,392623.5
153,102739.5,148869.0,293683.5,228276.0,233630.99999999997,243550.5,384718.5
154,115234.5,162639.0,321784.5,252348.00000000003,259462.49999999997,276216.0,428604.0
155,123573.00000000001,179902.5,352639.5,273105.0,281086.5,295927.5,464584.5
156,127500.0,182146.49999999997,360927.0,281851.5,290572.5,308091.0,475345.5
157,106641.00000000001,164220.0,322906.5,248497.5,251506.5,269050.5,423555.0
158,112429.5,163327.5,324105.0,250359.0,257779.5,272518.5,426895.5
159,113373.0,166948.5,329919.0,258085.5,261936.00000000003,277287.0,437019.0
160,120258.0,177786.0,353940.0,275425.5,278842.5,297355.5,460861.5
161,112506.0,164398.5,327394.5,254107.5,259615.5,271957.5,428578.5
162,119238.00000000001,173374.5,342108.0,264690.0,277771.5,293173.5,457062.0
163,121941.0,180463.5,356923.5,276751.5,285702.0,302965.5,465425.99999999994
164,111791.99999999999,163837.5,319387.5,243270.0,245845.5,263848.5,417613.5
165,119034.0,175440.0,343434.0,271192.5,274227.0,293862.0,461295.0
166,120385.5,173731.5,339175.5,262854.0,274609.5,290598.0,453007.5
167,117861.0,174649.5,343484.99999999994,263517.0,271320.0,287971.5,449029.5
168,106462.5,157539.0,309825.0,239343.0,243575.99999999997,256530.0,399483.0
169,122706.00000000001,175338.0,353175.00000000006,272314.5,278638.5,300619.5,466828.5
170,121431.0,174598.5,341955.0,267367.5,275043.0,287002.5,455889.0
171,116866.5,171768.0,334534.5,259488.0,271626.0,284886.0,445128.0
172,122145.0,178372.5,345066.0,269815.5,274278.0,293046.0,452982.0
173,119671.5,173935.50000000003,338818.49999999994,262522.5,268260.0,286722.0,450993.0
174,117147.0,174675.0,340246.5,264613.5,270249.0,288558.0,455073.0
175,115413.0,168580.5,332928.0,259717.5,265378.5,279148.5,443827.5
176,117172.5,172099.5,335223.0,260202.0,264154.5,285753.0,444363.0
