,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,35674.5,186507.0,306790.5,263593.5,255586.5,318622.5,478762.5
1,37714.5,190408.5,317016.0,272773.5,266704.5,328593.0,493986.0
2,35700.0,183370.5,301384.5,256122.0,251251.50000000003,311788.5,469531.49999999994
3,35904.0,185895.00000000003,307275.0,262395.0,253750.5,315741.0,476544.0
4,36465.0,183141.0,305311.5,259947.0,253011.0,311329.5,475447.5
5,37816.5,193290.00000000003,314568.0,272085.0,261833.99999999997,321402.00000000006,489344.99999999994
6,35343.0,181840.5,295290.0,258238.5,245514.0,306484.5,459382.5
7,35904.0,184288.5,305770.5,257550.00000000003,247248.0,313930.5,471520.5
8,36924.0,185614.49999999997,301461.0,261043.5,254643.0,312706.5,474554.99999999994
9,34195.5,177964.5,294270.0,252067.49999999997,245437.5,301639.5,459918.0
10,33558.0,168580.5,275247.0,236742.00000000003,229959.0,282106.5,426972.0
11,32461.5,163098.0,267597.0,226720.5,221365.5,271345.5,415803.0
12,37740.0,190281.00000000003,310972.5,268336.5,258365.99999999997,318265.5,484653.0
13,37612.5,189567.0,311457.0,267112.5,263338.5,322881.0,491053.5
14,38097.0,189618.0,318112.5,271957.5,261910.5,325890.0,491767.5
15,35853.0,187833.0,311661.0,265174.5,258009.00000000003,321121.49999999994,482383.5
16,37587.0,183855.0,298120.5,258672.0,247554.0,306714.0,467772.0
17,36975.0,183906.0,308116.5,264256.5,257295.0,321096.0,480573.0
18,37995.0,186379.5,309850.5,263134.5,255892.5,315027.0,482715.0
19,35980.5,187705.5,303934.5,258340.5,251251.50000000003,313114.5,473279.99999999994
20,33558.0,173884.5,283585.5,237277.49999999997,233171.99999999997,289629.0,439620.0
21,35343.0,181330.50000000003,296335.5,254286.0,245845.5,302404.5,462213.0
22,38046.0,189337.5,314058.0,267036.0,262497.0,323136.0,487917.0
23,34578.0,172379.99999999997,280551.0,241944.00000000003,235824.00000000003,291235.5,445765.5
24,38556.0,191403.0,314160.0,269943.0,260661.0,322218.0,494802.0
25,35853.0,186303.0,310488.0,266781.0,260278.49999999997,320586.0,485443.50000000006
26,38632.5,194361.0,314083.5,272391.0,267291.0,330454.5,491181.00000000006
27,35980.5,181024.5,295060.5,254897.99999999997,248140.49999999997,307351.5,461881.50000000006
28,34833.0,177862.50000000003,301461.0,253801.49999999997,244162.5,303424.5,458719.5
29,33660.0,176434.5,290496.0,251302.5,240873.0,299166.0,455608.5
30,35088.0,182962.5,302608.5,254719.50000000003,247477.5,308193.0,472030.5
31,36796.5,184543.5,305464.5,265353.0,255178.50000000003,316531.5,483760.5
32,35190.0,179315.99999999997,295698.0,256428.0,247222.5,306790.5,464202.0
33,37459.5,189210.0,315129.0,273054.0,262777.5,327624.0,494598.0
34,37816.5,189694.5,311049.0,270478.5,260890.5,319922.99999999994,487942.5
35,35700.0,179673.0,294168.0,246355.5,243984.0,296871.0,453492.0
36,36694.5,186507.0,302481.0,260253.0,249747.0,314338.5,478635.0
37,35190.0,174547.5,288124.5,249466.5,242938.49999999997,297381.0,452115.00000000006
38,36082.5,187399.5,306637.5,263389.5,254515.5,321249.0,482001.0
39,33889.5,173349.0,284682.0,241051.5,236002.49999999997,291108.0,444363.0
40,36567.0,192550.49999999997,313089.0,269152.5,259029.0,323110.5,487764.0
41,33966.0,179571.0,295519.5,255408.0,243116.99999999997,303067.5,461193.0
42,38224.5,192474.0,315664.5,272416.5,261451.5,323799.0,495923.99999999994
43,35394.0,191148.0,313242.0,269280.0,260890.5,326578.5,484321.49999999994
44,34297.5,175847.99999999997,294168.0,247528.5,243856.50000000003,304827.0,460938.0
45,35062.5,174471.0,288099.0,243321.0,239037.0,299013.0,448698.0
46,36873.0,186813.0,305719.5,261859.5,256887.0,319081.5,486361.5
47,35853.0,182223.0,298987.5,258034.5,245743.5,307249.5,464635.5
48,35980.5,188802.0,305821.5,266959.5,253827.0,318316.5,476901.0
49,38020.5,193060.5,318520.5,272365.5,265149.0,329664.0,492201.0
50,26877.000000000004,132421.5,213384.0,177225.00000000003,168504.0,215424.0,329664.0
51,35241.0,188700.0,311176.5,269356.5,257601.0,319030.5,484729.5
52,36898.5,192499.5,314083.5,269917.5,265455.0,326706.00000000006,489829.5
53,36210.0,186507.0,304572.0,267240.0,256530.0,318010.5,483403.49999999994
54,36490.5,189873.0,311023.5,264996.0,261043.5,319922.99999999994,488988.00000000006
55,37536.0,192168.0,313369.5,268081.5,262242.0,323671.49999999994,491691.0
56,36796.5,189235.5,306714.0,265429.5,257677.5,318061.5,484372.5
57,37969.5,189567.0,310335.0,263823.0,259998.0,317526.0,482970.00000000006
58,35215.5,185869.5,305923.5,261145.5,253368.0,313854.0,476773.5
59,35088.0,172864.5,284401.5,244443.0,233274.00000000003,296820.0,445892.99999999994
60,34272.0,179163.0,288124.5,250282.5,243397.49999999997,298605.0,451426.5
61,36235.5,184875.0,305821.5,263032.5,254005.5,315256.5,473254.5
62,37000.5,188011.5,308677.5,269356.5,257346.0,320611.5,486514.49999999994
63,34654.5,179265.0,287869.5,248089.5,241561.5,300007.5,457725.0
64,38785.5,193213.5,316327.5,270682.5,263874.0,326808.0,496893.0
65,35904.0,177556.5,292459.5,250537.5,240694.5,300466.5,456271.5
66,35802.0,186048.0,307708.5,260661.0,252093.0,317169.0,475906.5
67,35802.0,182783.99999999997,299829.0,257703.0,248319.0,311304.0,471367.49999999994
68,36720.0,191250.0,314746.5,275986.5,264180.0,325635.0,494368.49999999994
69,36082.5,180897.0,299523.0,259870.5,249390.0,307606.5,469404.0
70,31594.5,160420.49999999997,264486.0,222360.0,217489.5,269790.0,410524.5
71,32920.5,163506.0,273283.5,230953.5,223354.5,282106.5,432480.0
72,35802.0,183217.5,300900.0,254311.5,246075.0,303756.0,467364.0
73,38428.5,192550.49999999997,308754.0,267903.0,259921.50000000003,318622.5,485673.0
74,35700.0,185308.5,300415.5,258493.5,252985.50000000003,313140.0,475345.5
75,37357.5,187680.0,309774.0,267622.5,258009.00000000003,319285.49999999994,479782.50000000006
76,39321.0,186251.99999999997,305694.0,262267.5,254260.49999999997,315409.5,480700.5
77,36031.5,188903.99999999997,310003.5,269152.5,260329.5,322728.0,482205.0
78,37102.5,188037.0,307912.5,265047.0,257830.5,314007.0,480828.0
79,35317.5,178576.5,295188.0,252093.0,246942.0,305235.0,462927.0
80,37000.5,182503.5,296233.5,256351.5,250741.5,310513.5,472285.50000000006
81,37179.0,182376.0,302863.5,258901.5,252781.5,312936.0,470781.0
82,37332.0,188419.5,310615.5,266169.0,258825.00000000003,322396.49999999994,483301.5
83,37791.0,193315.5,314848.5,269331.0,263848.5,324079.5,492328.5
84,39397.5,190893.0,316021.5,272646.0,261655.50000000003,327879.0,492660.0
85,36235.5,182248.50000000003,298120.5,253291.5,248344.5,306663.0,467772.0
86,36261.0,179494.49999999997,293224.5,253648.5,246177.0,303858.0,459739.5
87,36898.5,191989.5,314364.0,275323.5,262930.5,326349.0,494496.0
88,37867.5,189465.0,314772.0,272187.0,260202.0,322422.0,493705.5
89,38428.5,189669.0,312604.5,268413.0,260559.00000000003,324946.49999999994,484092.0
90,32589.0,162180.0,267291.0,223660.5,219172.5,273258.0,416032.5
91,36210.0,185410.5,301690.5,259029.0,251812.5,311151.0,467670.0
92,36771.0,186915.0,304980.0,261553.5,253368.0,315384.0,476875.5
93,33762.0,171538.5,284070.0,236665.5,230800.49999999997,283611.0,436866.0
94,36312.0,189796.5,315103.5,269943.0,261655.50000000003,324334.5,490518.0
