,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,133951.5,186710.99999999997,370846.5,292485.0,291388.5,304699.5,449692.5
1,122808.0,174267.0,340373.99999999994,266118.0,268948.5,276777.0,409045.5
2,128112.0,177403.50000000003,355062.0,286773.0,281545.5,290521.5,435591.0
3,129514.5,184926.0,366435.0,285906.0,285039.0,299242.5,437681.99999999994
4,112684.5,157411.5,310309.5,241536.0,240261.0,251685.0,371764.5
5,118447.5,168096.00000000003,328975.50000000006,257754.0,254031.0,269305.5,397060.49999999994
6,123318.0,177301.5,348381.0,276955.5,273717.0,285804.0,423733.50000000006
7,117555.0,168300.0,329485.5,257703.0,259156.5,267775.5,399381.0
8,113551.5,159604.50000000003,316378.5,246738.0,246763.5,256836.0,379338.0
9,121864.5,172379.99999999997,338385.00000000006,267954.0,268693.5,275629.5,412080.0
10,124338.0,174190.5,342414.0,266322.0,266577.0,280245.0,411034.5
11,127194.0,175108.5,347029.5,274737.0,272952.0,281520.0,416695.5
12,127959.0,182070.0,357586.5,280270.5,287257.5,294015.0,435718.5
13,127245.0,182197.5,366690.0,283942.5,284962.5,296514.0,437835.0
14,123190.5,176893.5,357255.0,276649.5,276241.5,289501.5,427277.99999999994
15,117708.0,170034.0,341394.0,264103.5,263644.5,273972.0,404430.0
16,130764.0,186099.0,371050.5,289323.0,292918.5,297916.5,447933.0
17,108375.00000000001,149302.5,299523.0,225726.0,228378.0,238858.5,356184.0
18,123420.0,178959.00000000003,344530.5,271371.0,271804.5,285855.0,414655.5
19,130968.00000000001,186507.0,368602.50000000006,287283.0,290037.0,302073.0,448417.5
20,127908.00000000001,187552.5,370923.0,290445.0,290878.5,300619.5,446046.0
21,123955.5,171130.5,339966.0,266143.5,265659.0,277083.0,407923.5
22,103173.00000000001,144457.5,283483.5,219682.5,219504.0,228403.5,344097.0
23,123241.5,177811.5,356974.5,276471.0,280678.5,286441.5,433525.5
24,125332.5,175363.5,348177.0,276369.0,276190.5,284886.0,420724.5
