,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,404889.0,198211.49999999997,393694.5,310003.5,305439.0,324360.0,477564.0
1,389461.5,194412.0,385738.49999999994,299523.0,299650.5,314007.0,459153.0
2,415293.0,204688.49999999997,410907.0,321351.0,325635.0,332010.0,493756.5
3,372172.5,186838.5,370132.5,290929.5,287232.0,297993.0,442578.0
4,359269.49999999994,179290.5,360060.0,276981.0,275680.5,290062.5,425773.5
5,401217.0,200175.0,392725.5,306000.0,296871.0,315384.0,470168.99999999994
6,400273.5,196069.5,391450.5,308524.5,304827.0,318775.5,472285.50000000006
7,396652.5,196860.0,392445.0,311125.5,311686.5,319464.0,472361.99999999994
8,370005.0,182223.0,363732.0,284758.5,283687.5,294270.0,440640.0
9,402135.0,199690.5,393924.0,311125.5,309774.0,322090.5,470322.0
10,427048.5,210247.5,418710.00000000006,333642.00000000006,326221.49999999994,343791.0,503013.0
11,389079.0,190842.0,376686.0,299905.5,295213.5,308040.0,452421.0
12,396652.5,197395.50000000003,389181.0,303373.5,300466.5,318699.0,462009.0
13,435361.5,215398.5,427074.0,334942.5,340221.0,353047.5,510892.5
14,362712.0,177735.0,353838.0,273207.0,271753.5,284427.0,419245.5
15,412182.0,201067.5,401956.5,319260.0,315001.5,327522.0,482817.0
16,403588.5,203388.0,400324.5,315180.0,316302.0,323059.5,484372.5
17,346672.49999999994,174445.5,348432.00000000006,269841.0,267240.0,275731.5,415955.99999999994
18,395199.0,195151.5,388824.0,302659.5,305847.0,320178.0,469761.0
19,381582.0,187323.0,365746.5,289705.5,289705.5,303832.5,450712.5
20,374416.49999999994,184671.0,373371.0,284376.0,286671.0,299013.0,440844.0
21,314236.5,162766.5,313930.5,240566.99999999997,238042.5,254643.0,376635.0
22,367353.0,181713.0,361488.0,280066.5,280882.5,288940.5,430108.49999999994
23,420061.49999999994,209355.00000000003,409836.0,320662.5,321274.5,330760.5,492736.50000000006
24,402007.50000000006,199307.99999999997,395275.5,311814.0,312120.0,320050.5,480802.5
25,371713.5,181152.00000000003,366511.5,288124.5,284452.5,302073.0,444490.5
26,409963.5,203158.5,408306.00000000006,317373.0,318240.0,330786.0,485214.0
27,412487.99999999994,204127.5,403206.0,319387.5,321351.0,328491.0,484601.99999999994
28,399355.5,198313.50000000003,395658.0,306229.5,308499.0,317959.5,471826.5
29,333871.5,165291.0,326680.5,256275.00000000003,254413.5,262879.5,392088.0
30,427456.5,205147.49999999997,420826.5,330276.0,327930.0,341802.0,504517.5
31,360723.0,178755.0,360595.5,277389.0,272671.5,284172.0,426972.0
32,336345.0,169932.0,333642.00000000006,256759.5,256172.99999999997,266194.5,394281.0
33,411697.5,201552.0,403537.5,318087.0,316276.5,330837.0,483990.0
34,370591.49999999994,183651.0,361003.5,283815.0,283560.0,292740.0,439390.5
35,425467.5,208845.0,410652.0,327063.00000000006,323416.5,334585.5,494649.00000000006
36,344173.5,168070.5,338869.5,261833.99999999997,261910.5,270810.0,402058.5
37,375564.0,188547.00000000003,372172.5,291261.0,296514.0,301078.5,453466.49999999994
38,415395.0,207111.0,413380.5,327343.50000000006,327879.0,344683.50000000006,509184.0
39,335427.0,166923.0,329740.5,257524.5,256555.5,268515.0,394255.5
40,398412.0,193443.0,383673.0,306969.0,303450.0,309060.0,464941.5
41,383520.0,188164.5,378063.0,292638.0,291031.5,306000.0,452242.5
42,402237.0,197421.0,396933.0,308932.5,311635.5,326731.5,479196.0
43,417180.0,204229.5,407439.0,323340.0,322447.5,329893.50000000006,488223.0
44,306484.5,156417.0,306127.5,227715.0,231718.50000000003,242887.5,359652.0
45,416721.0,204229.5,407133.0,321147.0,318316.5,330684.0,486412.5
46,408357.0,202266.0,403027.5,318673.5,316710.0,332928.0,486004.5
47,386937.00000000006,196350.0,383137.5,297534.0,298452.0,312273.0,453670.50000000006
48,394485.0,195177.0,386248.5,303093.0,301741.5,315256.5,463998.0
49,424090.50000000006,208564.5,419755.5,326731.5,327879.0,347182.5,497250.0
50,395760.0,196936.49999999997,396015.0,313140.0,312120.0,325354.5,474861.0
51,382984.5,189694.5,386121.0,290929.5,295494.0,309213.0,453645.0
52,389869.5,192117.0,378292.5,303501.0,298656.0,307657.5,463692.0
53,354654.0,178729.5,351619.50000000006,271039.5,275527.5,284299.5,423147.0
54,412437.0,202521.0,409275.0,321912.0,321223.5,336702.0,491640.0
55,377349.0,186736.5,365746.5,287053.5,289017.0,301690.5,439084.5
56,430720.5,210655.5,417282.0,333565.5,330046.5,340935.00000000006,502401.0
57,412003.5,201093.0,394255.5,312859.5,314568.0,328746.0,483123.0
58,402440.99999999994,198288.0,398692.5,314211.0,315894.0,322320.00000000006,478558.5
59,425059.5,204816.0,410294.99999999994,323799.0,320331.0,335630.99999999994,490747.5
60,404047.5,197344.5,391858.5,307708.5,307402.5,316072.5,468639.0
61,445051.5,213970.5,426156.0,335886.0,338232.0,347692.5,513162.0
62,420750.0,205300.5,418148.99999999994,326858.99999999994,326501.99999999994,335758.5,499698.0
63,371280.0,188292.0,363681.0,283356.0,283917.0,296845.5,437656.5
64,432174.0,207748.5,416619.0,331500.0,331296.0,340960.5,502579.49999999994
65,392419.5,193978.5,380103.0,296259.0,298044.0,312579.0,461142.0
66,435259.5,212032.5,425722.49999999994,334687.5,336268.49999999994,347769.0,512499.0
67,419347.50000000006,208947.0,407643.0,318214.5,320637.0,332239.5,489217.5
68,419857.5,205912.5,414145.5,327394.5,327547.5,340297.50000000006,496638.0
69,421311.0,207723.0,411621.0,323059.5,323033.99999999994,335962.5,492048.0
70,412768.50000000006,201603.0,403690.5,313879.5,319438.5,330046.5,485876.99999999994
71,351364.5,175414.5,347514.00000000006,269968.5,268948.5,280933.5,413584.5
72,394816.5,194310.0,388033.5,298936.5,302277.0,311176.5,460836.0
73,402492.0,196554.0,397570.5,309978.0,309952.5,320382.0,472540.5
74,403614.0,195942.0,389155.5,305694.0,305821.5,319668.0,476824.5
75,407133.0,199104.0,394740.0,313318.5,314185.5,326680.5,480751.5
76,415650.0,207315.0,403027.5,316888.5,314925.0,330633.0,486055.5
77,417996.0,204280.5,408025.50000000006,321606.0,324717.0,333795.0,492787.5
78,367914.0,187374.0,368678.99999999994,282871.5,283662.0,296437.5,441838.5
79,405756.00000000006,201424.5,400401.0,311431.5,310386.0,327776.99999999994,477640.5
80,404940.0,200710.5,399228.0,311023.5,310437.0,322243.5,479017.5
81,364879.5,185691.0,363145.5,282234.0,286773.0,296259.0,434418.00000000006
82,387855.00000000006,191250.0,383265.0,299344.5,299803.5,309213.0,459484.5
83,398310.0,192244.5,388237.5,305184.0,303603.0,310972.5,464686.5
84,415905.0,201832.5,400579.5,322626.0,318291.0,326374.5,490747.5
85,402670.5,196248.0,392139.0,309927.0,308856.0,320713.5,472387.5
86,432607.5,207111.0,415242.00000000006,326655.0,328567.5,337467.00000000006,497403.0
87,410805.0,201781.50000000003,404124.0,315613.5,315307.5,329460.0,481083.0
88,420648.0,207621.00000000003,413661.0,323875.50000000006,324105.0,333948.0,493042.5
89,386656.49999999994,191912.99999999997,380434.5,296335.5,297789.0,307657.5,456654.0
90,403002.00000000006,198568.5,393057.0,302634.0,306178.5,317322.0,470551.5
91,415471.5,207901.5,414196.5,324105.0,321070.5,334942.5,494776.5
92,397009.5,197319.0,394995.0,306867.0,307453.5,319030.5,469582.5
93,378037.5,184926.0,369826.5,289680.0,286288.5,296335.5,443751.0
94,430771.5,210681.0,419449.5,334968.0,328465.5,341011.49999999994,505741.5
95,353124.0,178423.5,355776.0,270555.0,271830.0,281392.5,417205.5
96,389334.0,193800.0,380256.0,300645.0,297457.5,309723.0,463692.0
97,425238.0,205989.0,415165.5,327241.5,331959.0,343051.5,504951.0
98,419143.49999999994,205504.5,407643.0,318367.5,319744.5,330990.0,488223.0
99,370362.0,183141.0,363222.0,282336.0,281290.5,292918.5,429088.5
100,347718.0,174700.5,348712.5,268693.5,267061.5,276165.0,412080.0
101,402033.0,196401.0,397876.5,309162.0,307504.5,319565.99999999994,471903.0
102,299650.5,150195.0,293938.5,223201.5,225853.5,239011.49999999997,351798.0
103,420341.99999999994,207340.49999999997,409734.0,329536.50000000006,324360.0,339711.0,502885.5
104,380562.00000000006,187935.0,376482.0,290853.0,293173.5,310462.5,457393.5
105,392113.5,195967.5,390150.0,306127.5,308320.5,318010.5,470934.0
106,392266.5,187476.0,379363.50000000006,302328.0,299089.5,307045.5,459127.49999999994
107,403920.00000000006,199486.49999999997,389028.0,303118.5,303348.0,311559.0,464380.5
108,320815.5,164322.0,320178.0,251761.5,248293.5,264919.5,381021.0
109,407668.50000000006,204229.5,400554.0,321504.0,318138.0,331780.5,480318.0
110,407286.0,203439.0,406189.49999999994,320382.0,317347.5,332162.99999999994,487075.50000000006
111,360060.0,183396.0,364038.0,280194.0,281112.0,292663.5,438013.5
112,408331.5,201399.0,397239.0,309238.5,313497.0,320688.0,476161.5
113,368220.0,185053.5,362661.00000000006,284427.0,284121.0,295519.5,438676.49999999994
114,338028.0,167280.0,332673.0,255204.0,255612.0,268744.5,396295.5
115,398208.0,197038.5,395785.49999999994,307759.5,307759.5,315435.0,474070.5
116,441532.5,213409.5,423606.0,333437.99999999994,336447.0,347641.5,512116.5
117,402466.5,199971.0,398488.5,310437.0,312094.5,330837.0,474657.0
118,448366.49999999994,215475.0,431944.50000000006,341266.5,340527.0,351339.00000000006,514870.5
119,416517.00000000006,203898.0,410244.0,315996.0,315817.5,330148.5,488299.5
120,385560.0,190255.5,377604.0,297126.0,296233.5,305337.0,454206.0
121,354322.5,179010.0,357841.5,275400.0,279811.5,284707.5,425824.5
122,419526.0,201450.0,405016.5,316659.0,316990.5,333616.5,492991.5
123,380587.5,188496.0,376023.0,293938.5,293632.5,306178.5,450126.0
124,430185.0,213919.50000000003,423631.5,334101.0,332698.5,341904.0,506863.5
125,394255.5,193417.5,385126.5,301843.5,303577.5,310029.0,465451.5
126,431766.0,209788.5,424345.5,332137.5,332137.5,345754.49999999994,503293.5
127,390354.0,191097.00000000003,384540.0,296080.5,294244.5,312069.0,454384.49999999994
128,387268.5,193392.0,383724.0,304623.0,302710.5,313879.5,460275.0
