date,first_dose_perc,second_dose_perc,age_group,num_people,first_dose_num,second_dose_num,age_lb,age_ub,dominant_brand,
2021-06-29,0,0,16_19,255211,0,0,16,19,pfizer,
2021-06-29,0,0,20_24,338824,0,0,20,24,pfizer,
2021-06-29,0,0,25_29,370468,0,0,25,29,pfizer,
2021-06-29,0,0,30_34,362541,0,0,30,34,pfizer,
2021-06-29,0,0,35_39,354219,0,0,35,39,pfizer,
2021-06-29,0,0,40_44,325208,0,0,40,44,pfizer,
2021-06-29,0,0,45_49,348003,0,0,45,49,pfizer,
2021-06-29,0,0,50_54,321168,0,0,50,54,az,
2021-06-29,0,0,55_59,317489,0,0,55,59,az,
2021-06-29,0,0,60_64,288317,0,0,60,64,az, 
2021-06-29,0,0,65_69,254114,0,0,65,69,az,
2021-06-29,0,0,70_74,226033,0,0,70,74,az,
2021-06-29,0,0,75_79,156776,0,0,75,79,az,
2021-06-29,0,0,80_84,100692,0,0,80,84,az,
2021-06-29,0,0,85_89,57073,0,0,85,89,az,
2021-06-29,0,0,90_94,28134,0,0,90,94,az,
2021-06-29,0,0,95_104,9059,0,0,95,104,az,
2021-06-29,0,0,16_104,4113329,0,0,16,104,na,
2021-06-30,2.2,1,16_19,255211,5615,2552,16,19,pfizer,
2021-06-30,7,4.2,20_24,338824,23718,14231,20,24,pfizer,
2021-06-30,9.3,5.9,25_29,370468,34454,21858,25,29,pfizer,
2021-06-30,10.3,6.2,30_34,362541,37342,22478,30,34,pfizer,
2021-06-30,11.8,7,35_39,354219,41798,24795,35,39,pfizer,
2021-06-30,22.7,10.4,40_44,325208,73822,33822,40,44,pfizer,
2021-06-30,25.2,12,45_49,348003,87697,41760,45,49,pfizer,
2021-06-30,34.3,6.7,50_54,321168,110161,21518,50,54,az,
2021-06-30,38.5,6.3,55_59,317489,122233,20002,55,59,az,
2021-06-30,48.5,6.4,60_64,288317,139834,18452,60,64,az,
2021-06-30,56.3,5.7,65_69,254114,143066,14484,65,69,az,
2021-06-30,67.6,12.1,70_74,226033,152798,27350,70,74,az,
2021-06-30,71.2,13.6,75_79,156776,111625,21322,75,79,az,
2021-06-30,70.7,15.7,80_84,100692,71189,15809,80,84,az,
2021-06-30,69.8,20.2,85_89,57073,39837,11529,85,89,az,
2021-06-30,71.2,29.8,90_94,28134,20031,8384,90,94,az,
2021-06-30,67.1,38.4,95_104,9059,6079,3479,95,104,az,
2021-06-30,29.7,7.9,16_104,4113329,1221299,323825,16,104,na,
2021-07-04,2.5,1.2,16_19,255211,6380,3063,16,19,pfizer,
2021-07-04,7.4,4.6,20_24,338824,25073,15586,20,24,pfizer,
2021-07-04,9.9,6.5,25_29,370468,36676,24080,25,29,pfizer,
2021-07-04,11,6.8,30_34,362541,39880,24653,30,34,pfizer,
