,Mean_Infections,SD_Infections,Mean_Deaths,SD_Deaths,Mean_reff,SD_reff,Mean_r_eff_val,SD_r_eff_val,Mean_Suppresion_Day,SD_Suppresion_Day,Mean_Critical,SD_Critical
0,510.0,0.0,0.0,0.0,2035575821.6434507,4226505.11044646,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,0.0,0.0
1,0.0,0.0,0.0,0.0,1357050548.900756,2817669.8016893733,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,0.0,0.0
2,13.515,31.11731471383739,0.0,0.0,339262639.9842164,704416.9335374786,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,0.0,0.0
3,71.655,78.81892840555498,0.0,0.0,4.515365741976009,3.814560944322392,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,0.0,0.0
4,137.445,85.48359184662283,0.0,0.0,4.965736456366235,2.6173678416420003,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,0.0,0.0
5,193.035,91.60535614798953,0.0,0.0,4.7322022186532475,1.8979429532449008,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,0.0,0.0
6,197.625,102.21492980479906,0.0,0.0,4.210853876179482,1.5901503875251308,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,0.51,3.5699999999999985
7,196.605,110.58271327382052,0.0,0.0,3.6785031238246444,1.5417548544398207,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,0.765,4.349974137854157
8,219.3,148.4704516056983,0.0,0.0,3.3200167220243078,1.5881260000252475,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,1.53,7.048340230153482
9,247.86,191.26971898342921,0.0,0.0,3.1343750558111676,1.5545095339050614,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,2.295,8.14005374675131
10,291.72,180.0350565862105,0.0,0.0,3.029076186614832,1.3681126644789792,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,3.315,9.303132536946897
11,307.785,196.67278986936648,0.0,0.0,2.9602350024969892,1.2168671597203895,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,5.61,12.271833603826293
12,359.805,253.43703256430376,0.255,2.53721796462188,2.9429904942540497,1.136108455148769,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,6.885,12.929782480768964
13,417.945,276.3638896002876,0.255,2.5372179646218798,2.9475164831921705,1.0708469274254502,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,9.435,13.326037483062997
14,459.0,308.7712017011949,0.0,0.0,2.9230387196501395,1.0491074271535603,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,12.495,15.083848149593656
15,492.15,345.1177951076995,0.0,0.0,2.910842704065451,1.0774172006782636,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,16.575,18.52044478407578
16,597.21,448.7591401854674,0.0,0.0,2.9584934877134925,1.1058082953433186,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,21.42,21.852770991341124
17,692.325,507.87108785104095,0.0,0.0,3.01311325443484,1.0636236572471256,1.5175067977820804,0.03531493820648374,485.09,84.78184888288294,25.245,22.948583289606358
