,0-17,18-24,25-34,35-44,45-54,55-64,65+
Mean_Size_per_age,815260.5000000012,397417.49999999895,824134.5000000007,704004.0000000007,700612.5000000005,682660.5000000005,927638.999999998
Mean_Vaccinated,0.0,397417.49999999895,824058.0000000015,535823.0849999996,606959.4149999992,591292.7250000004,872664.5700000005
Mean_Infected,29893.14,2343.45,3602.895,4345.964999999997,3131.1449999999986,3035.7749999999996,4051.1849999999977
Mean_Infected_Vaccinated,0.0,2343.45,3600.345,1723.2899999999993,1785.5100000000002,1721.5049999999999,3099.780000000001
Mean_Dead,2.55,0.51,0.7650000000000001,7.650000000000003,9.945000000000004,42.585000000000036,307.0199999999997
Mean_Dead_Vaccinated,0.0,0.51,0.7650000000000001,1.02,4.845,17.08500000000002,186.14999999999995
Mean_Critical,7.650000000000002,2.04,2.805,19.380000000000017,35.44500000000003,161.92499999999998,686.4599999999998
Mean_Critical_Vaccinated,0.0,2.04,2.805,2.805,14.025000000000004,63.75000000000005,411.31499999999977
Std_Size_per_age,1.1324274851176597e-09,9.908740494779522e-10,5.662137425588298e-10,7.077671781985373e-10,4.246603069191224e-10,4.246603069191224e-10,1.9817480989559044e-09
Std_Vaccinated,0.0,9.908740494779522e-10,1.557087792036782e-09,18.407750405789372,13.992507816720924,24.821600975775596,8.848169302235677
Std_Infected,24367.444577148424,1877.5118554885346,2900.3227279864905,3521.089742008147,2550.7911295272697,2518.4768108670373,3319.3197395362517
Std_Infected_Vaccinated,0.0,1877.5118554885346,2898.127884251314,1406.6627477473053,1457.641116633309,1413.9031199042595,2530.366734605875
Std_Dead,7.65,3.5700000000000047,4.349974137854153,15.924744895915916,16.874373321697018,42.064180427056925,259.97296897946904
Std_Dead_Vaccinated,0.0,3.5700000000000047,4.349974137854153,6.162353446533241,10.633836325616441,24.206203233882018,163.85610302945685
Std_Critical,14.648634748671967,7.801499855796961,7.978688802052633,27.255194000410288,43.10857774271846,144.44686523078306,581.7765622642424
Std_Critical_Vaccinated,0.0,7.801499855796961,7.978688802052633,9.469396760089852,22.046810993883007,61.57075198501315,355.07603168194845
