,H_Pow,ClusterSize,Mean_FracVaccinated,SD_FracVaccinated,Mean_Infections,SD_Infections,Mean_Deaths,SD_Deaths,Contain_Day,Peak_Day,reff,SD_reff,reff30,SD_reff30
0,-1.85,1.0,0.3892482702143893,0.0002472504257215,545510.5833333334,294107.6111786755,4233.3125,3235.7710920027125,2.0,0.0,,,2.5514347114436253,1.1237120321325322
1,-1.644,1.0,0.4358993050885053,0.0001935260360513,381482.9375,230823.3703251744,2564.6041666666665,2262.457191221511,2.0,0.0,2.125953681875324,0.4260481790241236,2.2964617247036347,0.9855435515493906
2,-1.439,1.0,0.4769970736606339,0.0001765371575369,310761.3333333333,207270.0604403597,2106.125,1886.2418182217543,2.0,0.0,2.0237188100497168,0.4484526374173294,1.984445386059904,1.1543114903754217
3,-1.233,1.0,0.5134644774115844,0.0001374253247625,257575.8333333333,159995.78996579922,1583.4375,1364.2024543432583,2.0,0.0,1.9912501063424075,0.4318456081851406,1.906046762571517,1.0682284334033196
4,-1.028,1.0,0.5455053691444253,0.0001025948804252,176841.70833333334,132792.89744576244,937.9375,958.7803734543572,2.0,0.0,1.852419853746776,0.4331172248675189,1.654798541156401,0.8697901912436801
5,-0.822,1.0,0.5740413423738943,8.054078508368991e-05,172652.29166666666,99479.3004160907,855.6666666666666,715.2985489880413,2.0,0.0,1.916089023910996,0.3002271725103377,1.820270070863048,0.8848405803856384
6,-0.617,1.0,0.5992745850082023,8.566569658816278e-05,147932.6875,107116.83230188256,804.5625,728.88270387672,2.0,0.0,1.7393959913257682,0.4437289840486869,1.6502727944572986,0.9614199404639682
7,-0.411,1.0,0.6216584545351874,6.831415100792575e-05,118454.1875,96012.58140044389,561.3125,560.2570138271838,2.0,0.0,1.6900290275578722,0.4433638243175468,1.62476935234897,1.093806613502858
8,-0.206,1.0,0.6414634836748531,6.0127743811621e-05,112393.64583333331,84183.5174478542,504.4166666666667,477.9768459331759,2.0,0.0,1.6942694641931373,0.3950943019953137,1.917752430411363,1.0991133601521026
9,0.0,1.0,0.6590893546243032,4.786569397259632e-05,78845.72916666667,65838.8156810767,343.0,370.377208526314,2.0,0.0,,,1.4798062954123603,0.9728735722321722
10,0.206,1.0,0.6747352763951922,4.647074209091771e-05,74582.5,70934.2442278073,304.1666666666667,351.1290805468464,2.0,0.0,1.5813166645463206,0.4234960061037066,1.313129611931097,1.007826509574146
11,0.411,1.0,0.6886434011291992,3.976572726711758e-05,83666.83333333333,66286.75255293613,321.1875,294.4564885856869,2.0,0.0,1.6345421943088547,0.3338984490516899,1.5951322069312937,0.978241581220921
12,0.617,1.0,0.7011150178575863,3.133190532008876e-05,67088.14583333333,57310.08152742768,218.125,227.8375331005884,2.0,0.0,1.5194187013341438,0.4477789205691391,1.6600590703532057,1.2464619554781808
13,0.822,1.0,0.712126157041319,3.327142839006369e-05,60698.75,56211.37368082287,222.85416666666663,238.24089271364164,2.0,0.0,1.538980820647608,0.4098336823475904,1.347398013349468,1.126474460474484
14,1.028,1.0,0.722024444537951,2.718400995663329e-05,53339.875,50135.03133883278,172.35416666666666,191.88732172186013,2.0,0.0,1.511011921542445,0.4139938891524794,1.2718665769765958,1.056329762561854
15,1.233,1.0,0.7308214688046203,2.6261827934317413e-05,48695.708333333336,52170.00279567133,149.5625,183.23579812025255,2.0,0.0,,,1.3600574496288462,1.2080868889231988
16,1.439,1.0,0.7387472407180353,3.189229474799527e-05,48766.29166666666,55613.01401878472,153.33333333333334,220.06365939063443,2.0,0.0,1.38749290900216,0.4445700543785535,1.1439367104891716,0.9625417959346978
17,1.644,1.0,0.7457866252020637,1.6905452985515666e-05,42004.0625,41499.66835007508,113.47916666666669,115.59448370541116,2.0,0.0,1.4630451125358734,0.3852581733292691,1.5773806840018405,1.4103702184737896
18,1.85,1.0,0.7521539612936783,2.3937637684353436e-05,43506.458333333336,45883.85697349542,128.39583333333334,162.21311692159313,2.0,0.0,1.4626191364287413,0.3529948593507133,1.3239289857379248,1.151107766084478
19,-1.85,2.0,0.3898794058135275,0.0002860653630998,815935.4583333334,232889.925269242,7772.479166666667,3736.7481709601134,2.0,0.0,2.271605315268044,0.1507258091222189,2.556409946976024,0.7938950992455721
20,-1.644,2.0,0.4365461357303429,0.000249493513511,594551.9166666666,191493.07391550727,4976.520833333333,2911.37397547767,2.0,0.0,2.1467920750057607,0.1115376191517832,2.536326295573044,0.6204153848286886
21,-1.439,2.0,0.4775981169479411,0.0001820610844597,497497.2916666667,138860.48705437031,3929.9166666666665,1942.5251260275188,2.0,0.0,2.085252151041858,0.0868386609238253,2.3463410387273576,0.6155873572833775
22,-1.233,2.0,0.514018013690377,0.0001465822831162,385934.8125,112863.99535906436,2559.2916666666665,1453.303689958925,2.0,0.0,2.0033707194818566,0.101636104667898,2.0844901820134294,0.5019483215432828
23,-1.028,2.0,0.5461505564747281,0.0001273127431136,329725.3333333333,120785.83083685915,2199.1666666666665,1188.372126926889,2.0,0.0,1.924606008253778,0.2078220580740984,2.0882687615405517,0.824290076942076
24,-0.822,2.0,0.5746420840956783,0.0001149411915164,257239.47916666663,108289.36123458896,1571.1041666666667,1019.7451755026806,2.0,0.0,1.8469057536100164,0.2185195352302241,2.030661027736377,0.6187656697613344
25,-0.617,2.0,0.5998179030144055,9.077531874952696e-05,233912.85416666663,87581.96558652676,1342.2083333333333,771.5542743235568,2.0,0.0,1.8293741111374209,0.123538598242426,1.8149489559579963,0.6399390897438721
26,-0.411,2.0,0.6222547044184769,8.807200632514289e-05,208547.22916666663,85297.65252119907,1103.6458333333333,721.6302610057943,2.0,0.0,1.7833078701696108,0.1674771746733442,1.9644295701851693,0.7627990172292665
27,-0.206,2.0,0.6420783915713708,7.408329603082892e-05,184550.7708333333,84466.34206851701,940.0416666666666,588.3233644907142,2.0,0.0,1.7399446124467073,0.141482046029855,1.9647588745848512,0.6462163973488825
28,0.0,2.0,0.6596938585714015,6.38756879326738e-05,141108.85416666666,80075.1441353522,686.6458333333334,493.74536850328,2.0,0.0,1.6766548125339955,0.2097595485680775,1.6793600271850118,0.7137308259081029
29,0.206,2.0,0.6754040847164801,6.516321275043161e-05,137898.9375,84935.08918176962,596.9375,491.995001109789,2.0,0.0,1.6343556999478306,0.294639442139242,1.6081078647857794,0.7960807421368103
30,0.411,2.0,0.6893333356856116,4.735799154596654e-05,117904.25,68026.48241599456,468.2916666666667,350.3241634594252,2.0,0.0,1.6304344171014489,0.1964022243686513,1.5623655655565976,0.8145506329338862
31,0.617,2.0,0.7017447687123357,5.021682418105816e-05,112397.89583333331,65141.97330585257,470.4583333333333,364.9138609131268,2.0,0.0,1.5696278569327144,0.2913598226918472,1.724638246080266,0.9234895701928582
32,0.822,2.0,0.7127721976094213,3.71465650520578e-05,102774.85416666669,54582.87647316384,373.2083333333333,265.75432250309314,2.0,0.0,1.5863025926364915,0.1846449083107904,1.5136166967636762,0.6140369085872335
33,1.028,2.0,0.7226426387778293,2.901211581796025e-05,86053.25,57282.84719370207,265.3958333333333,204.7138885187868,2.0,0.0,1.5237374068929437,0.2564310296137174,1.4042918263931192,0.5809419154246863
34,1.233,2.0,0.7314442118749498,3.478498573918719e-05,74317.875,55722.00349708115,238.33333333333331,242.5053922044352,2.0,0.0,1.4845783590763857,0.2585983441324672,1.5509731455858409,1.1091498230862726
35,1.439,2.0,0.7393596647666875,3.011941369299714e-05,87986.97916666667,55860.14093593513,273.375,207.7751060181442,2.0,0.0,1.4957056992937998,0.2866421138436802,1.6339996689130782,0.6141863980664533
36,1.644,2.0,0.7464425561464739,2.3997463042835738e-05,94533.54166666669,44096.57159923816,256.4375,163.9582077328815,2.0,0.0,1.5806290851674347,0.1472620671461339,1.5888244396112217,0.6695019904316654
37,1.85,2.0,0.7528247005787722,3.520850912661252e-05,91261.5625,58776.29031857176,302.5625,238.46155015904623,2.0,0.0,1.4876120610436072,0.2746259362088409,1.4396762194043768,0.7864447262354248
38,-1.85,3.0,0.3890217500816796,0.0001682474329371,180003.1875,274136.00274305965,1136.2291666666667,2203.297260631364,2.0,0.0,,,1.3693592104178764,2.388755135349451
39,-1.644,3.0,0.4358198614153621,9.612794217092424e-05,125058.625,182700.55408638855,641.6041666666666,1124.2760836745997,2.0,0.0,,,1.0762362645110597,1.223302405870014
40,-1.439,3.0,0.4769508710422241,8.319711764576619e-05,98103.45833333331,146512.1779020954,490.2083333333333,889.1321840874626,2.0,0.0,,,1.3438998638497146,1.8188516074487509
41,-1.233,3.0,0.5133370989373537,9.507262357372896e-05,124785.0625,150004.08515776257,616.5833333333334,944.0385592858162,2.0,0.0,,,1.731892790935164,2.175872567107892
42,-1.028,3.0,0.5453874503210249,8.090142379234429e-05,72546.75,117467.35240337875,349.8958333333333,756.0715445034294,2.0,0.0,,,1.2539927287333243,1.3678130563302295
43,-0.822,3.0,0.5739791931038782,7.127477802079214e-05,80275.75,112285.35817083718,392.4375,633.0132567685141,2.0,0.0,,,1.154095556957958,1.4103007043568307
44,-0.617,3.0,0.5991912874312434,4.731455065259487e-05,43754.520833333336,78065.01879161835,181.04166666666663,402.59413902855295,2.0,0.0,,,0.773513749637195,1.0505582607895074
45,-0.411,3.0,0.6216774892661633,7.115032162721757e-05,73816.39583333333,104374.07779462427,348.375,583.4781486911056,2.0,0.0,,,0.9214830814309812,1.2871968124725195
46,-0.206,3.0,0.6414304481280698,4.073472085713976e-05,38900.0,64189.190073214966,162.375,323.74416120587193,2.0,0.0,,,0.9402518789781312,1.1196357156108925
47,0.0,3.0,0.659098938863074,3.3498444377818265e-05,31966.64583333333,59629.91215199696,107.66666666666669,259.1075791802557,2.0,0.0,,,0.7388282636392501,1.304692161781617
48,0.206,3.0,0.674789358226867,1.2094995948651376e-05,10834.541666666666,26713.07430865088,32.854166666666664,91.35481204839272,2.0,0.0,,,0.3648217112855927,0.7320427785079242
49,0.411,3.0,0.6886753306709014,1.9506160482245862e-05,22651.70833333333,42141.45591803686,76.33333333333333,144.36277196382042,2.0,0.0,,,0.5875650852048135,0.8538661299892599
50,0.617,3.0,0.7011091303258864,3.052120473939624e-05,17858.208333333332,50734.9793241261,66.29166666666667,221.9147774252907,2.0,0.0,,,0.6577817698353944,1.3645407020050535
51,0.822,3.0,0.7121459055706078,2.466584437883787e-05,24301.77083333333,47431.87064834871,77.95833333333333,176.5779869094472,2.0,0.0,,,0.6357147575934964,1.03299777292392
52,1.028,3.0,0.7220696679476051,2.5869924606310612e-05,33970.020833333336,54832.05999463157,103.5,182.64615249513636,2.0,0.0,,,0.9636617916260024,1.2533895002052369
53,1.233,3.0,0.7308401769892597,1.236021199494612e-05,16327.145833333334,37312.65488309682,35.979166666666664,86.15312680840579,2.0,0.0,,,0.4892816408024016,0.9782064440362246
54,1.439,3.0,0.7387190034794578,1.605400589054179e-05,20950.08333333333,37482.682486962425,62.0625,110.72822897296498,2.0,0.0,,,0.5890222531637958,0.8745236262998802
55,1.644,3.0,0.7457491389811155,2.4996886767223083e-05,33200.645833333336,52114.234229622736,96.54166666666669,170.8728478777245,2.0,0.0,,,0.9056016351025086,1.2261337012135043
56,1.85,3.0,0.752119793852319,2.1926311452812027e-05,24558.375,46407.00108160727,66.25,148.58502831139438,2.0,0.0,,,0.9218917031592788,1.5843240360281412
57,-1.85,4.0,0.3888747000840069,0.0002404423591488,285790.4375,315283.0322948212,1961.2083333333333,3148.71077270394,2.0,0.0,,,1.6333509147688228,1.6578269047839775
58,-1.644,4.0,0.4356017684584043,0.0001681362203254,233290.2083333333,229063.7900066508,1366.0625,1966.654361851457,2.0,0.0,,,1.846315267907903,1.418011025097889
59,-1.439,4.0,0.4766410087441973,0.0001307359161113,179433.1875,187576.69703902584,1026.6875,1397.9168872541077,2.0,0.0,,,1.5303663253960096,1.47017362336636
60,-1.233,4.0,0.513148619966533,7.565648049895025e-05,141244.79166666666,136037.52228438604,632.0208333333334,751.7034694210984,2.0,0.0,,,1.662418552297775,1.7739783695743347
