,delta_FullHesitancy_0,delta_NoHesitancy_0,omicron_FullHesitancy_0,omicron_NoHesitancy_0
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,25.5,0.0,0.0,0.0
48,51.0,0.0,25.5,0.0
49,331.5,0.0,51.0,0.0
50,969.0,0.0,102.0,0.0
51,1989.0,25.5,178.5,0.0
52,3493.5,127.5,433.5,25.5
53,5380.5,153.0,765.0,25.5
54,7369.5,229.5,1122.0,25.5
55,10174.5,255.0,1683.0,25.5
56,13744.5,306.0,1963.5,25.5
57,17442.0,357.0,2371.5,25.5
58,21573.0,382.5,3136.5,51.0
59,26622.0,408.0,4029.0,51.0
60,32181.0,408.0,4921.5,51.0
61,38811.0,408.0,5941.5,76.5
62,45619.5,433.5,6910.5,76.5
63,53193.0,433.5,8262.0,76.5
64,62194.5,459.0,9664.5,76.5
65,71145.0,459.0,11679.0,76.5
66,80758.5,535.5,13387.5,76.5
67,89913.0,535.5,15249.0,76.5
68,99297.0,561.0,16932.0,76.5
69,108757.5,612.0,18462.0,76.5
70,118702.5,612.0,20017.5,76.5
71,128520.0,612.0,22261.5,76.5
72,139000.5,612.0,23868.0,76.5
73,147696.0,612.0,25704.0,76.5
74,157233.0,612.0,27004.5,76.5
75,167178.0,612.0,28381.5,76.5
76,176689.5,612.0,29580.0,76.5
77,184492.5,612.0,30472.5,76.5
78,192474.0,612.0,31773.0,76.5
79,199741.5,612.0,32640.0,76.5
80,206983.5,612.0,33277.5,76.5
81,213307.5,612.0,34170.0,76.5
82,220116.0,612.0,34935.0,76.5
83,226287.0,612.0,35674.5,76.5
84,232254.0,612.0,36567.0,76.5
85,236359.5,612.0,37306.5,76.5
86,242122.5,612.0,37791.0,76.5
87,246355.5,612.0,38326.5,76.5
88,250333.5,612.0,38811.0,76.5
89,254464.5,612.0,39168.0,76.5
90,258493.5,612.0,39627.0,76.5
91,262267.5,612.0,39856.5,76.5
92,265965.0,612.0,40239.0,76.5
93,269458.5,612.0,40570.5,76.5
94,272671.5,612.0,40902.0,76.5
95,275196.0,612.0,41284.5,76.5
96,277924.5,612.0,41488.5,76.5
97,280678.5,612.0,41718.0,76.5
98,282744.0,612.0,41947.5,76.5
99,285115.5,612.0,42100.5,76.5
100,287028.0,612.0,42279.0,76.5
101,288915.0,612.0,42483.0,76.5
102,290521.5,612.0,42712.5,76.5
103,292026.0,612.0,42865.5,76.5
104,293326.5,612.0,42967.5,76.5
105,294627.0,612.0,43095.0,76.5
106,296488.5,612.0,43197.0,76.5
107,297661.5,612.0,43350.0,76.5
108,299140.5,612.0,43477.5,76.5
109,300237.0,612.0,43528.5,76.5
110,301231.5,612.0,43605.0,76.5
111,302200.5,612.0,43656.0,76.5
