,delta_FullHesitancy_0,delta_NoHesitancy_0,omicron_FullHesitancy_0,omicron_NoHesitancy_0
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,25.5,0.0,0.0,0.0
55,76.5,0.0,0.0,0.0
56,229.5,25.5,0.0,0.0
57,357.0,25.5,25.5,0.0
58,535.5,25.5,51.0,0.0
59,765.0,76.5,127.5,0.0
60,1122.0,76.5,127.5,0.0
61,1632.0,76.5,255.0,0.0
62,2116.5,127.5,382.5,0.0
63,2754.0,127.5,459.0,0.0
64,4054.5,127.5,612.0,0.0
65,5533.5,153.0,816.0,0.0
66,6706.5,178.5,1071.0,0.0
67,8466.0,178.5,1351.5,0.0
68,10200.0,204.0,1530.0,0.0
69,11883.0,204.0,1785.0,0.0
70,14382.0,204.0,2142.0,0.0
71,17034.0,204.0,2448.0,0.0
72,19482.0,204.0,3034.5,0.0
73,22210.5,229.5,3774.0,0.0
74,25525.5,255.0,4233.0,25.5
75,28738.5,280.5,4819.5,25.5
76,32104.5,306.0,5559.0,25.5
77,35980.5,306.0,6171.0,25.5
78,39397.5,306.0,6936.0,25.5
79,43018.5,306.0,7548.0,25.5
80,46716.0,306.0,8083.5,25.5
81,50158.5,306.0,8721.0,25.5
82,54162.0,306.0,9282.0,25.5
83,57859.5,306.0,10072.5,25.5
84,61710.0,306.0,10710.0,25.5
85,64974.0,306.0,11322.0,25.5
86,68238.0,306.0,11883.0,25.5
87,72190.5,306.0,12444.0,25.5
88,75582.0,306.0,12877.5,25.5
89,79305.0,306.0,13132.5,25.5
90,82212.0,306.0,13489.5,25.5
91,84915.0,306.0,13744.5,25.5
92,87210.0,306.0,14050.5,25.5
93,89632.5,306.0,14305.5,25.5
94,92182.5,306.0,14739.0,25.5
95,94426.5,306.0,15172.5,25.5
96,96492.0,306.0,15249.0,25.5
97,98761.5,306.0,15504.0,25.5
98,100648.5,306.0,15733.5,25.5
99,102586.5,306.0,15912.0,25.5
100,104269.5,306.0,16039.5,25.5
101,105825.0,306.0,16320.0,25.5
102,107329.5,306.0,16396.5,25.5
103,108936.0,306.0,16651.5,25.5
104,109981.5,306.0,16804.5,25.5
105,111486.0,306.0,16906.5,25.5
106,112608.0,306.0,17059.5,25.5
107,113934.0,306.0,17238.0,25.5
108,114852.0,306.0,17263.5,25.5
109,115897.5,306.0,17391.0,25.5
110,116764.5,306.0,17493.0,25.5
111,117478.5,306.0,17544.0,25.5
