,delta_FullHesitancy_0,delta_NoHesitancy_0,omicron_FullHesitancy_0,omicron_NoHesitancy_0
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,51.0,51.0,51.0,51.0
45,12036.0,12495.0,12036.0,12495.0
46,66657.0,67218.0,66682.5,67218.0
47,137776.5,140862.0,138159.0,140887.5
48,199282.5,194743.5,201628.5,194769.0
49,244009.5,224349.0,251583.0,224476.5
50,295825.5,238680.0,317755.5,238960.5
51,365083.5,245080.5,407745.0,245412.0
52,453543.0,248293.5,523209.0,248931.0
53,557481.0,250155.0,663331.5,250920.0
54,670548.0,250996.5,818269.5,251940.0
55,794554.5,251812.5,997942.5,252985.5
56,931744.5,252577.5,1196817.0,253776.0
57,1077400.5,252960.0,1409155.5,254311.5
58,1234123.5,253240.5,1635901.5,254745.0
59,1395615.0,253546.5,1864381.5,255076.5
60,1553256.0,253648.5,2097910.5,255357.0
61,1711815.0,253929.0,2324376.0,255714.0
62,1873408.5,254056.5,2537862.0,255765.0
63,2023068.0,254133.0,2739414.0,255867.0
64,2168392.5,254158.5,2922427.5,255892.5
65,2310198.0,254158.5,3095394.0,255892.5
66,2447337.0,254184.0,3256375.5,255943.5
67,2576545.5,254209.5,3405652.5,255969.0
68,2701980.0,254209.5,3542919.0,255969.0
69,2820708.0,254209.5,3667920.0,255969.0
70,2929797.0,254209.5,3781497.0,255969.0
71,3030012.0,254235.0,3886225.5,255969.0
72,3131859.0,254235.0,3982539.0,255969.0
73,3223174.5,254235.0,4073217.0,255994.5
74,3309849.0,254235.0,4152879.0,255994.5
75,3393565.5,254235.0,4227747.0,255994.5
76,3470244.0,254235.0,4293537.0,255994.5
77,3543709.5,254235.0,4355986.5,255994.5
78,3614115.0,254235.0,4413616.5,255994.5
79,3678400.5,254235.0,4466911.5,255994.5
80,3739983.0,254235.0,4514418.0,255994.5
81,3798633.0,254235.0,4560675.0,255994.5
82,3854478.0,254235.0,4602061.5,255994.5
83,3905274.0,254235.0,4638552.0,255994.5
84,3953953.5,254235.0,4673283.0,255994.5
85,4000185.0,254235.0,4705183.5,255994.5
86,4043815.5,254235.0,4735375.5,255994.5
87,4084896.0,254235.0,4763451.0,255994.5
88,4122126.0,254235.0,4789078.5,255994.5
89,4159254.0,254235.0,4813584.0,255994.5
90,4193016.0,254235.0,4834800.0,255994.5
91,4226013.0,254235.0,4854562.5,255994.5
92,4256511.0,254235.0,4874299.5,255994.5
93,4286244.0,254235.0,4892277.0,255994.5
94,4314396.0,254235.0,4907730.0,255994.5
95,4340329.5,254235.0,4922953.5,255994.5
96,4365064.5,254235.0,4937437.5,255994.5
97,4388091.0,254235.0,4949779.5,255994.5
98,4410301.5,254235.0,4961713.5,255994.5
99,4430803.5,254235.0,4971582.0,255994.5
100,4450132.5,254235.0,4981884.0,255994.5
101,4468084.5,254235.0,4991701.5,255994.5
102,4484710.5,254235.0,5000932.5,255994.5
103,4500316.5,254235.0,5009016.0,255994.5
104,4515310.5,254235.0,5016411.0,255994.5
105,4529692.5,254235.0,5022735.0,255994.5
106,4544227.5,254235.0,5029033.5,255994.5
107,4556977.5,254235.0,5034337.5,255994.5
108,4568529.0,254235.0,5040738.0,255994.5
109,4578933.0,254235.0,5046093.0,255994.5
110,4588317.0,254235.0,5050810.5,255994.5
111,4598440.5,254235.0,5055936.0,255994.5
