,Infections,Deaths,r_eff,Diagnosis,Critical,r_eff_smooth,r_eff_static
0,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
1,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
2,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
3,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
4,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
5,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
6,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
7,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
8,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
9,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
10,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
11,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
12,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
13,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
14,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
15,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
16,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
17,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
18,0.0,0.0,0.0,0.0,0.0,0.0,2.928564105451736
19,0.0,0.0,393698515.8920288,0.0,0.0,0.0,2.928564105451736
20,0.0,0.0,1574794063.5681152,0.0,0.0,0.0,2.928564105451736
21,510.0,0.0,2362191095.352173,0.0,0.0,0.0,2.928564105451736
22,0.0,0.0,1574794063.7225068,0.0,0.0,0.0,2.928564105451736
23,0.0,0.0,393698517.0242337,0.0,0.0,0.0,2.928564105451736
24,25.5,0.0,3.5638721704580343,25.5,0.0,3.5638721704580343,2.928564105451736
25,204.0,0.0,6.248317830115658,51.0,0.0,6.248317830115658,2.928564105451736
26,229.5,0.0,6.9809209902638045,51.0,0.0,6.9809209902638045,2.928564105451736
27,127.5,0.0,6.135995096274593,76.5,0.0,6.135995096274593,2.928564105451736
28,306.0,0.0,5.868035232435363,102.0,0.0,5.868035232435363,2.928564105451736
29,382.5,0.0,6.471156075159432,204.0,0.0,6.471156075159432,2.928564105451736
30,510.0,0.0,6.779770143150221,255.0,0.0,6.779770143150221,2.928564105451736
31,586.5,0.0,6.249165922059806,306.0,0.0,6.249165922059806,2.928564105451736
32,433.5,0.0,5.469990345611262,306.0,0.0,5.469990345611262,2.928564105451736
33,765.0,0.0,5.256509485379653,382.5,0.0,5.256509485379653,2.928564105451736
34,841.5,0.0,5.491406873378698,433.5,0.0,5.491406873378698,2.928564105451736
35,1173.0,0.0,5.562072302283094,535.5,0.0,5.562072302283094,2.928564105451736
36,1020.0,0.0,5.418563411749662,612.0,25.5,5.418563411749662,2.928564105451736
37,1377.0,0.0,5.459420527077324,867.0,25.5,5.459420527077324,2.928564105451736
38,1989.0,0.0,5.537197646531101,1020.0,25.5,5.537197646531101,2.928564105451736
39,2065.5,0.0,5.225740692449241,1351.5,25.5,5.225740692449241,2.928564105451736
40,1708.5,0.0,4.938075210069576,1657.5,25.5,4.938075210069576,2.928564105451736
41,2881.5,0.0,5.1490866413016505,1989.0,51.0,5.1490866413016505,2.928564105451736
42,3544.5,0.0,5.369903369288489,2320.5,76.5,5.369903369288489,2.928564105451736
43,4233.0,0.0,5.06805551007577,2728.5,102.0,5.06805551007577,2.928564105451736
44,3621.0,0.0,4.5371728782646645,3391.5,102.0,4.5371728782646645,2.928564105451736
45,4462.5,0.0,4.301064049297001,4003.5,102.0,4.301064049297001,2.928564105451736
46,5839.5,0.0,4.318943164810984,4845.0,178.5,4.318943164810984,2.928564105451736
47,6451.5,25.5,4.289115580918732,5584.5,153.0,4.289115580918732,2.928564105451736
48,7038.0,0.0,4.266228829365844,6732.0,357.0,4.266228829365844,2.928564105451736
49,9001.5,0.0,4.369548507682431,7930.5,433.5,4.369548507682431,2.928564105451736
50,10965.0,0.0,4.410636394698547,9052.5,510.0,4.410636394698547,2.928564105451736
51,11424.0,0.0,4.252035993348447,10582.5,637.5,4.252035993348447,2.928564105451736
52,12775.5,25.5,4.071180487535523,12087.0,816.0,4.071180487535523,2.928564105451736
53,13974.0,25.5,4.076018758229875,14178.0,1096.5,4.076018758229875,2.928564105451736
54,18972.0,51.0,4.182710392452494,16396.5,1224.0,4.182710392452494,2.928564105451736
55,21267.0,25.5,4.1380615358615085,18462.0,1453.5,4.1380615358615085,2.928564105451736
56,21675.0,25.5,3.925787979035208,21241.5,1581.0,3.925787979035208,2.928564105451736
57,24327.0,0.0,3.7569710847693836,23868.0,1912.5,3.7569710847693836,2.928564105451736
58,27642.0,25.5,3.71885404739933,26698.5,2218.5,3.71885404739933,2.928564105451736
59,34246.5,51.0,3.7056485317764,30192.0,2703.0,3.7056485317764,2.928564105451736
60,34756.5,102.0,3.6179680367375364,33787.5,3187.5,3.6179680367375364,2.928564105451736
61,40774.5,25.5,3.4737392684672725,38071.5,3672.0,3.4737392684672725,2.928564105451736
62,41539.5,76.5,3.3400209022465304,42483.0,4131.0,3.3400209022465304,2.928564105451736
63,49623.0,51.0,3.2444482192459474,47200.5,4768.5,3.2444482192459474,2.928564105451736
64,52173.0,76.5,3.167131776540709,51892.5,5533.5,3.167131776540709,2.928564105451736
65,58905.0,280.5,3.0790450491581662,57298.5,5992.5,3.0790450491581662,2.928564105451736
66,64285.5,102.0,2.954164943934723,62985.0,6783.0,2.954164943934723,2.928564105451736
67,64387.5,153.0,2.807258301416895,68773.5,7930.5,2.807258301416895,2.928564105451736
68,71782.5,102.0,2.682978792968758,74052.0,8848.5,2.682978792968758,2.928564105451736
