,Infections,Deaths,r_eff,Diagnosis,Critical,r_eff_smooth,r_eff_static
0,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
1,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
2,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
3,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
4,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
5,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
6,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
7,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
8,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
9,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
10,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
11,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
12,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
13,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
14,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
15,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
16,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
17,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
18,0.0,0.0,0.0,0.0,0.0,0.0,2.286761910665089
19,0.0,0.0,301878418.9224243,0.0,0.0,0.0,2.286761910665089
20,0.0,0.0,1207513675.6896973,0.0,0.0,0.0,2.286761910665089
21,510.0,0.0,1811270513.8305051,0.0,0.0,0.0,2.286761910665089
22,0.0,0.0,1207513677.5500124,0.0,0.0,0.0,2.286761910665089
23,25.5,0.0,301878423.8480315,0.0,0.0,0.0,2.286761910665089
24,204.0,0.0,7.37361286889567,0.0,0.0,7.37361286889567,2.286761910665089
25,229.5,0.0,7.34655375780158,0.0,0.0,7.34655375780158,2.286761910665089
26,229.5,0.0,5.869848409069439,25.5,0.0,5.869848409069439,2.286761910665089
27,280.5,0.0,4.7377130110622865,127.5,0.0,4.7377130110622865,2.286761910665089
28,306.0,0.0,4.377311596022571,178.5,0.0,4.377311596022571,2.286761910665089
29,484.5,0.0,4.2773272663901345,255.0,0.0,4.2773272663901345,2.286761910665089
30,331.5,0.0,4.088622714729143,280.5,0.0,4.088622714729143,2.286761910665089
31,663.0,0.0,3.7585576770830147,382.5,0.0,3.7585576770830147,2.286761910665089
32,484.5,0.0,3.1397015940418234,382.5,0.0,3.1397015940418234,2.286761910665089
33,357.0,0.0,2.4899679078850996,459.0,0.0,2.4899679078850996,2.286761910665089
34,535.5,0.0,2.174520156531753,612.0,0.0,2.174520156531753,2.286761910665089
35,535.5,0.0,1.9903546056291028,714.0,0.0,1.9903546056291028,2.286761910665089
36,484.5,0.0,1.7991627728374113,892.5,0.0,1.7991627728374113,2.286761910665089
37,561.0,0.0,1.8035988937495098,1020.0,0.0,1.8035988937495098,2.286761910665089
38,688.5,0.0,2.0555347634057393,1045.5,0.0,2.0555347634057393,2.286761910665089
39,1173.0,0.0,2.285028380958053,1249.5,0.0,2.285028380958053,2.286761910665089
40,841.5,0.0,2.4363272720105975,1402.5,0.0,2.4363272720105975,2.286761910665089
41,1020.0,0.0,2.7784288407771784,1606.5,0.0,2.7784288407771784,2.286761910665089
42,2091.0,0.0,3.048906179444545,2065.5,0.0,3.048906179444545,2.286761910665089
43,1147.5,0.0,2.9033282793815225,2371.5,0.0,2.9033282793815225,2.286761910665089
44,1555.5,0.0,2.7819874581987634,2524.5,0.0,2.7819874581987634,2.286761910665089
45,1887.0,0.0,3.0482759857500237,2881.5,0.0,3.0482759857500237,2.286761910665089
46,2626.5,0.0,3.480322302667098,3187.5,0.0,3.480322302667098,2.286761910665089
47,3646.5,0.0,3.796380452056308,3570.0,25.5,3.796380452056308,2.286761910665089
48,3519.0,0.0,3.916983058053067,4003.5,25.5,3.916983058053067,2.286761910665089
49,4641.0,0.0,3.8500117065032935,4564.5,25.5,3.8500117065032935,2.286761910665089
50,4411.5,0.0,3.631702544193163,5100.0,25.5,3.631702544193163,2.286761910665089
51,4972.5,0.0,3.452817283999067,5788.5,51.0,3.452817283999067,2.286761910665089
52,6630.0,0.0,3.4327307923403656,6630.0,51.0,3.4327307923403656,2.286761910665089
53,7267.5,0.0,3.4723758870307244,7599.0,51.0,3.4723758870307244,2.286761910665089
54,9129.0,0.0,3.475178070911448,8364.0,76.5,3.475178070911448,2.286761910665089
55,10047.0,0.0,3.3920755401741287,9588.0,76.5,3.3920755401741287,2.286761910665089
56,10633.5,0.0,3.2517156234564997,11092.5,127.5,3.2517156234564997,2.286761910665089
57,12877.5,0.0,3.1233404111162257,12648.0,178.5,3.1233404111162257,2.286761910665089
58,13489.5,0.0,3.003416053149283,14280.0,204.0,3.003416053149283,2.286761910665089
59,15325.5,0.0,2.8816375721107663,15886.5,204.0,2.8816375721107663,2.286761910665089
60,16626.0,0.0,2.7999977740391806,18360.0,255.0,2.7999977740391806,2.286761910665089
