,delta_FullHesitancy_0,delta_NoHesitancy_0,omicron_FullHesitancy_0,omicron_NoHesitancy_0
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,25.5,0.0,25.5,0.0
47,153.0,0.0,25.5,0.0
48,714.0,25.5,204.0,0.0
49,2422.5,51.0,586.5,0.0
50,5967.0,153.0,1606.5,25.5
51,10837.5,331.5,3060.0,51.0
52,17187.0,510.0,4513.5,127.5
53,24862.5,688.5,6324.0,153.0
54,33507.0,790.5,9180.0,204.0
55,43962.0,994.5,12571.5,255.0
56,54748.5,1147.5,16294.5,255.0
57,68110.5,1275.0,20833.5,306.0
58,82467.0,1351.5,25704.0,357.0
59,100164.0,1428.0,32359.5,357.0
60,120564.0,1555.5,38505.0,382.5
61,142698.0,1581.0,45543.0,408.0
62,165775.5,1708.5,53958.0,408.0
63,190740.0,1785.0,62551.5,408.0
64,219019.5,1836.0,72088.5,408.0
65,248370.0,1836.0,83487.0,433.5
66,276241.5,1887.0,93304.5,433.5
67,305082.0,1938.0,104422.5,433.5
68,333387.0,1963.5,114571.5,433.5
69,363681.0,1963.5,124618.5,433.5
70,394434.0,1963.5,134053.5,433.5
71,423708.0,1963.5,144330.0,433.5
72,452497.5,1963.5,153637.5,433.5
73,479884.5,1963.5,162180.0,433.5
74,508674.0,1963.5,170289.0,433.5
75,535653.0,1963.5,177352.5,433.5
76,560184.0,1963.5,184263.0,433.5
77,583108.5,1963.5,190689.0,433.5
78,606109.5,1963.5,196324.5,433.5
79,627274.5,1963.5,201705.0,433.5
80,646527.0,1963.5,206754.0,433.5
81,666366.0,1963.5,211854.0,433.5
82,685057.5,1963.5,216112.5,433.5
83,701403.0,1963.5,220039.5,433.5
84,716932.5,1963.5,223660.5,433.5
85,731875.5,1963.5,226695.0,433.5
86,746130.0,1963.5,229372.5,433.5
87,757962.0,1963.5,231897.0,433.5
88,769896.0,1963.5,234676.5,433.5
89,780631.5,1963.5,237022.5,433.5
90,792157.5,1963.5,239113.5,433.5
91,802459.5,1963.5,240694.5,433.5
92,812506.5,1963.5,242505.0,433.5
93,821482.5,1963.5,244264.5,433.5
94,830535.0,1963.5,245794.5,433.5
95,838797.0,1963.5,247248.0,433.5
96,846166.5,1963.5,248523.0,433.5
97,853867.5,1963.5,249849.0,433.5
98,860931.0,1963.5,250767.0,433.5
99,865750.5,1963.5,251965.5,433.5
100,871717.5,1963.5,252756.0,433.5
101,876919.5,1963.5,253750.5,433.5
102,881637.0,1963.5,254617.5,433.5
103,886584.0,1963.5,255484.5,433.5
104,890995.5,1963.5,256122.0,433.5
105,895228.5,1963.5,256683.0,433.5
106,899334.0,1963.5,257499.0,433.5
107,903312.0,1963.5,258034.5,433.5
108,906805.5,1963.5,258468.0,433.5
109,909483.0,1963.5,259080.0,433.5
110,912262.5,1963.5,259411.5,433.5
111,915399.0,1963.5,259615.5,433.5
