,delta_FullHesitancy_0,delta_NoHesitancy_0,omicron_FullHesitancy_0,omicron_NoHesitancy_0
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,1912.5,484.5,1887.0,637.5
46,14968.5,5176.5,14076.0,4692.0
47,47685.0,14841.0,48118.5,15427.5
48,90882.0,27973.5,92616.0,28381.5
49,129795.0,37638.0,133084.5,37893.0
50,164118.0,43656.0,170875.5,44446.5
51,200914.5,47659.5,218382.0,47889.0
52,247120.5,49291.5,281571.0,50184.0
53,307045.5,50337.0,358683.0,51229.5
54,377068.5,50796.0,452676.0,52122.0
55,453849.0,51408.0,557557.5,52683.0
56,537336.0,51892.5,677790.0,53269.5
57,633726.0,52122.0,811078.5,53524.5
58,732003.0,52377.0,954082.5,53779.5
59,839409.0,52683.0,1104226.5,53932.5
60,949875.0,52810.5,1265055.0,54085.5
61,1057638.0,52861.5,1426597.5,54264.0
62,1170450.0,52912.5,1580796.0,54340.5
63,1281069.0,52989.0,1729971.0,54391.5
64,1384293.0,53014.5,1871853.0,54442.5
65,1485528.0,53014.5,1998205.5,54442.5
66,1582504.5,53040.0,2117775.0,54468.0
67,1678359.0,53040.0,2231173.5,54493.5
68,1769598.0,53040.0,2335392.0,54519.0
69,1857828.0,53040.0,2432470.5,54519.0
70,1940142.0,53040.0,2517003.0,54519.0
71,2016030.0,53065.5,2594778.0,54519.0
72,2085925.5,53065.5,2669442.0,54519.0
73,2153781.0,53065.5,2734875.0,54519.0
74,2218908.0,53065.5,2795233.5,54519.0
75,2278629.0,53065.5,2850466.5,54519.0
76,2335672.5,53065.5,2899350.0,54519.0
77,2387488.5,53065.5,2945428.5,54519.0
78,2438310.0,53065.5,2987758.5,54519.0
79,2488570.5,53065.5,3025116.0,54519.0
80,2530365.0,53065.5,3059923.5,54519.0
81,2572746.0,53065.5,3092334.0,54519.0
82,2612934.0,53065.5,3122424.0,54519.0
83,2650623.0,53065.5,3150040.5,54519.0
84,2685175.5,53065.5,3174316.5,54519.0
85,2718988.5,53065.5,3197419.5,54519.0
86,2749308.0,53065.5,3218202.0,54519.0
87,2779602.0,53065.5,3237811.5,54519.0
88,2806861.5,53065.5,3256605.0,54519.0
89,2832106.5,53065.5,3272976.0,54519.0
90,2855974.5,53065.5,3289015.5,54519.0
91,2878924.5,53065.5,3302326.5,54519.0
92,2902129.5,53065.5,3315714.0,54519.0
93,2922427.5,53065.5,3328005.0,54519.0
94,2941960.5,53065.5,3339939.0,54519.0
95,2960805.0,53065.5,3349323.0,54519.0
96,2977992.0,53065.5,3359625.0,54519.0
97,2993878.5,53065.5,3368499.0,54519.0
98,3009765.0,53065.5,3376888.5,54519.0
99,3023815.5,53065.5,3384079.5,54519.0
100,3037636.5,53065.5,3389842.5,54519.0
101,3050259.0,53065.5,3397008.0,54519.0
102,3061428.0,53065.5,3403612.5,54519.0
103,3071985.0,53065.5,3409222.5,54519.0
104,3081904.5,53065.5,3414399.0,54519.0
105,3091671.0,53065.5,3419218.5,54519.0
106,3101616.0,53065.5,3423196.5,54519.0
107,3111510.0,53065.5,3427302.0,54519.0
108,3119364.0,53065.5,3431280.0,54519.0
109,3126861.0,53065.5,3435334.5,54519.0
110,3134154.0,53065.5,3438190.5,54519.0
111,3139713.0,53065.5,3441480.0,54519.0
