,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,39474.0,179545.5,356923.5,279658.5,286977.0,306663.0,474427.5
1,40672.5,186150.0,366664.5,285625.5,296310.0,308983.5,483480.0
2,39066.0,177888.0,350982.00000000006,277899.0,284248.5,297738.0,469455.00000000006
3,40596.0,182274.0,358479.0,286492.5,289399.5,307504.5,480828.0
4,37791.0,170952.0,333514.5,260890.5,272365.5,289680.0,447448.49999999994
5,35394.0,165342.0,324819.0,252756.0,257116.5,275986.5,432786.0
6,37612.5,165928.5,324997.5,252807.00000000003,263032.5,274482.0,433321.5
7,37102.5,163965.0,325405.5,256504.5,258034.5,271881.0,431638.5
8,38199.0,184773.0,357076.49999999994,282591.0,290215.5,306994.5,478737.0
9,35955.0,169830.00000000003,334050.0,267189.0,271575.0,283713.0,450840.00000000006
10,41845.5,184390.5,364879.5,288966.0,297814.5,313930.5,489549.00000000006
11,37077.0,171564.00000000003,338053.5,264180.0,269229.0,283942.5,445153.5
12,35853.0,165597.0,329893.50000000006,256172.99999999997,262930.5,278052.0,431944.50000000006
13,37995.0,177939.0,348381.0,276037.5,281826.0,300084.0,459994.5
14,38377.5,170263.5,344122.49999999994,266373.0,273309.0,291541.5,454537.5
15,41360.99999999999,185232.0,365772.00000000006,285013.5,295417.5,309799.5,481848.0
16,38938.5,171564.00000000003,335248.5,262293.0,274176.0,288711.0,451707.0
17,33864.0,154810.5,303679.5,234472.5,237481.5,257983.5,399406.5
18,40239.0,177633.0,356388.0,276114.0,284835.0,297559.5,468639.0
19,37153.5,174777.0,344454.0,272620.5,277185.0,290190.0,452956.5
20,31390.5,136144.5,264103.5,204076.5,212185.50000000003,221289.0,344887.5
21,39040.5,184058.99999999997,357663.0,276037.5,285370.5,305158.5,466318.5
22,36592.5,168325.5,335325.0,266475.0,267597.0,284937.0,450126.0
23,39754.5,179163.0,358224.0,277771.5,288328.5,301792.5,472260.0
24,38479.5,174904.5,345219.0,272365.5,277848.0,289858.5,462493.5
25,38122.5,181279.5,351262.5,276751.5,285906.0,301971.0,471214.5
26,38607.0,175899.0,343000.5,265072.5,279276.0,295264.5,452115.00000000006
27,40188.0,179724.0,358275.00000000006,280066.5,285141.0,304827.0,473356.5
28,40596.0,182682.0,360595.5,283713.0,288277.5,310717.5,475065.0
29,40366.5,187450.50000000003,373728.0,293377.5,300466.5,317806.5,488452.5
30,36745.5,165393.0,325737.0,249236.99999999997,262471.5,272238.0,430899.0
31,38148.0,175057.5,344683.50000000006,271753.5,277720.5,294499.5,460453.5
32,37612.5,175950.00000000003,344326.5,266985.0,274941.0,293811.0,456424.5
33,39525.0,178015.5,347361.0,281035.5,285931.5,301614.0,464380.5
