,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,125052.0,177556.5,357000.00000000006,280398.0,281316.0,296106.0,428272.49999999994
1,122323.5,173986.5,347157.0,269509.5,275833.5,282897.0,417282.0
2,127321.5,179494.49999999997,359779.5,282820.5,286926.0,290980.5,433066.5
3,125970.0,179265.0,356694.0,282999.0,281418.0,293683.5,432352.5
4,123216.0,173680.5,344046.00000000006,274201.5,276267.0,282259.5,420928.5
5,104524.5,147033.0,292995.0,222921.0,223380.0,233988.0,348126.0
6,126403.50000000001,183549.0,361692.0,292230.0,290419.5,302557.5,437478.0
7,107151.0,154453.5,300849.0,233809.49999999997,236665.5,244621.5,364905.0
8,108323.99999999999,155907.0,313089.0,241434.0,243474.0,252118.5,373728.0
9,105697.5,152770.5,308014.5,235237.5,235008.00000000003,247069.5,365210.99999999994
10,128775.00000000001,180973.5,359728.5,283254.0,283815.0,297202.5,435999.0
11,113653.5,158686.5,312502.5,242275.5,247605.00000000003,253215.0,380052.0
12,123624.0,175644.0,352308.0,273079.5,277695.0,286263.0,423682.5
13,125255.99999999999,181228.49999999997,361513.5,285421.5,287436.0,298503.0,432607.5
14,117988.5,167152.5,337977.0,266959.5,270147.0,276777.0,409606.5
15,114877.5,163735.5,329103.0,257779.5,258544.49999999997,265582.5,397697.99999999994
16,121992.0,174088.5,347157.0,273946.5,274431.0,287614.5,420903.00000000006
17,123343.50000000001,174012.0,346137.0,271651.5,273972.0,283662.0,415063.5
18,96135.0,142392.0,283483.5,216903.0,218203.49999999997,226414.49999999997,335835.00000000006
19,115948.49999999999,167917.50000000003,335784.0,261681.0,262981.5,273870.0,399100.5
20,126403.50000000001,182911.5,366052.5,292612.5,288303.0,300925.5,436509.0
21,119340.0,170085.0,341929.49999999994,270937.5,272952.0,282055.5,414502.5
22,118830.0,170850.0,337033.5,267214.5,269866.5,278689.5,413355.0
23,122935.5,173195.99999999997,343332.0,271269.0,270937.5,282030.0,415752.0
24,110109.00000000001,160012.5,314670.0,242505.0,246865.49999999997,260099.99999999997,377374.5
25,114010.5,159247.5,320305.5,250435.5,249109.5,259207.5,382729.5
26,121533.0,173986.5,346443.0,274252.5,271575.0,288099.0,420265.50000000006
27,118116.0,171360.0,337518.0,265353.0,267291.0,279327.0,408688.5
28,120130.5,171538.5,336421.5,268081.5,268923.0,278383.5,409937.99999999994
29,124873.5,180999.0,361105.50000000006,287410.5,288889.5,296922.0,438141.0
30,123369.0,177939.0,353685.0,278358.0,277516.5,292561.5,422484.0
31,120283.49999999999,173961.0,347616.0,273921.0,271728.0,283764.0,417511.49999999994
32,126989.99999999999,182197.5,362635.5,291465.0,292893.0,301843.5,443904.00000000006
33,125358.0,176868.0,348610.5,276547.5,274456.5,291235.5,420367.5
34,124287.0,173935.50000000003,348126.0,272875.5,276853.5,283381.5,422152.5
35,108808.5,149557.5,299217.0,234115.5,233171.99999999997,243091.5,357867.0
36,123828.0,173425.5,350064.00000000006,278179.5,277414.5,288277.5,428119.50000000006
