,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,434213.99999999994,215067.0,435922.5,349860.0,349018.5,352563.0,512907.00000000006
1,421693.5,207927.0,416058.0,324870.00000000006,329383.5,337416.0,490849.5
2,372861.0,189490.5,382423.5,302889.0,305184.0,308116.5,443827.5
3,444082.5,217948.5,442935.0,348227.99999999994,346927.5,355827.0,514513.5
4,386707.5,190102.5,388263.0,301435.5,300313.5,307351.5,450049.5
5,373575.0,191275.49999999997,382500.0,297585.0,297789.0,302226.0,445714.5
6,433015.5,213282.00000000003,424779.0,341317.5,337875.0,346162.5,502044.0
7,420826.5,211140.0,422229.0,336548.99999999994,336548.99999999994,345244.5,495057.0
8,402619.5,199945.49999999997,400834.5,319948.5,317092.5,323212.5,471163.5
9,446862.0,219708.0,440206.5,353532.00000000006,348024.0,351695.99999999994,516094.49999999994
10,446505.0,223048.50000000003,451299.0,354016.5,355113.0,367659.0,522444.0
11,429700.5,212517.0,429496.5,349273.5,341598.0,349375.5,509107.5
12,410550.0,204688.49999999997,416032.5,330887.99999999994,329256.00000000006,335452.5,487101.0
13,452471.99999999994,224119.5,456960.0,360646.5,361335.0,370515.00000000006,535168.5
14,425977.5,210349.49999999997,423912.0,338793.0,334381.5,345040.50000000006,494827.5
15,406393.50000000006,205836.0,407847.0,323289.0,326247.0,333183.0,476518.5
16,429751.50000000006,218050.5,431970.0,342873.0,339226.5,352002.0,509311.5
17,428221.5,212236.5,425799.0,335656.5,333437.99999999994,343714.5,497989.5
18,425493.0,211879.5,424320.0,337441.5,332673.0,345601.50000000006,495669.0
19,431868.0,216393.0,434367.0,338997.0,338589.0,348075.0,502809.0
20,423529.49999999994,212823.00000000003,429445.5,341955.0,338997.0,342337.5,503064.0
21,376966.5,193621.5,379516.5,297840.0,297024.0,305566.5,440002.5
22,457495.49999999994,225369.0,450075.0,366715.5,362635.5,370846.5,528640.5
23,443955.0,220626.0,440308.5,350497.5,348789.00000000006,359856.0,519868.5
24,431944.50000000006,216265.5,433474.5,344275.5,344275.5,354909.0,502095.0
25,424166.99999999994,214072.5,431001.0,337467.00000000006,340093.49999999994,341317.5,503344.5
26,444210.0,215347.5,434545.5,348126.0,346621.5,356184.0,509719.50000000006
27,392572.5,195024.00000000003,394485.0,307173.0,309672.0,312885.0,462111.0
28,408892.5,204739.5,409479.0,325482.0,324411.0,330709.5,478813.5
29,416466.0,209482.5,419016.0,330429.0,325890.0,339787.5,486463.5
30,451681.5,220320.0,449003.99999999994,357280.50000000006,355470.0,365542.5,516145.5
31,360009.0,183982.50000000003,363706.5,283891.5,284758.5,291337.5,425493.0
32,442705.49999999994,216826.5,434775.00000000006,352486.5,347488.5,359142.0,514029.0
33,426513.0,214684.5,431740.49999999994,342669.0,336548.99999999994,345678.00000000006,504288.0
34,429012.0,212848.5,425416.5,339405.0,337875.0,348151.50000000006,505308.0
35,399202.5,201271.5,398972.99999999994,317245.5,315078.0,320433.0,466420.5
36,451146.0,221365.5,446020.5,357918.00000000006,353888.99999999994,362508.0,523591.50000000006
37,403767.0,202521.0,404379.0,322932.0,319565.99999999994,328746.0,474300.0
38,402951.0,204714.0,406980.0,320535.0,313701.0,325609.5,472311.0
39,416364.0,205453.5,417307.5,331729.5,327114.0,340297.50000000006,491308.5
40,450151.5,224272.5,448978.5,355291.5,351925.5,359881.5,519333.0
41,434673.0,216214.5,435642.0,344683.50000000006,337008.0,345270.0,503625.0
42,437299.5,220371.0,438702.0,347182.5,350548.5,360570.0,515100.00000000006
43,401497.5,201857.99999999997,405399.0,320866.5,319183.5,329791.5,476136.0
44,441048.0,221595.0,438064.5,347284.5,352920.0,363987.0,515533.5
45,420750.0,210783.0,420571.5,335376.0,328185.0,339405.0,490084.5
46,416772.0,206856.0,419679.0,332061.0,326451.0,336778.5,486565.5
47,439543.5,218025.00000000003,437580.0,346366.5,345040.50000000006,352359.0,505792.5
48,433295.99999999994,218815.5,434112.0,346111.5,345372.0,349579.5,509311.5
49,416542.5,208335.0,418480.5,329383.5,324819.0,337951.5,487866.0
50,437274.0,221136.0,442093.5,350472.0,347794.5,356311.5,518542.5
