,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,447703.5,214429.5,424932.0,336625.49999999994,338053.5,351033.0,512345.99999999994
1,486438.00000000006,232381.5,463743.0,371739.0,369265.5,384846.0,559776.0
2,498040.5,237252.0,474197.99999999994,378088.50000000006,379644.00000000006,391909.5,568038.0
3,501100.5,233554.5,473356.5,380307.0,378216.0,391705.5,572551.5
4,446326.5,211471.5,426411.0,338130.0,339889.5,355113.0,521398.50000000006
5,428451.0,203949.0,410626.5,328414.49999999994,326655.0,339532.5,500539.5
6,420163.5,201807.0,400681.5,318597.0,317041.5,327267.0,479476.5
7,423835.5,205657.5,409759.5,321580.5,319387.5,334712.99999999994,492150.0
8,173757.00000000003,88102.5,161874.0,107100.0,105187.5,107151.0,167637.00000000003
9,479961.0,230188.5,457623.0,368398.49999999994,367098.0,379669.5,555670.5
10,482179.5,229372.5,453823.5,365160.0,364522.5,376507.5,554013.0
11,504211.5,237430.5,472515.0,382500.0,381403.5,392419.5,581425.5
12,496332.0,233223.0,468766.5,373473.0,378445.49999999994,387293.99999999994,568956.0
13,479119.5,228811.5,453492.0,364752.0,366842.99999999994,374161.5,557200.5
14,473560.49999999994,221467.5,452650.5,359091.0,357204.0,372631.5,542844.0
15,503319.0,232585.5,473254.5,381684.0,379746.0,388671.0,570868.5
16,476850.0,226057.50000000003,449386.5,357892.5,356388.0,367531.5,550213.5
17,473407.5,225879.00000000003,452650.5,360570.0,359014.5,368347.5,546261.0
18,516502.5,238170.0,482230.5,387702.0,389486.99999999994,399814.50000000006,582292.5
19,483326.99999999994,228021.0,454231.5,364165.5,364267.5,375462.0,545317.5
20,473636.99999999994,226465.5,456067.5,362967.0,364242.0,372606.0,551361.0
21,486310.5,231744.0,464150.99999999994,369775.5,371662.5,383188.49999999994,565233.0
22,502248.0,234804.0,474861.0,380205.0,382423.5,393133.5,574999.5
23,473331.0,225828.0,451095.0,363834.0,357918.00000000006,369699.0,546057.0
24,460300.5,220906.5,441481.5,345703.5,347157.0,364649.99999999994,532389.0
25,471852.0,225088.5,448953.0,360162.0,359091.0,365058.0,543175.5
26,488069.99999999994,229449.0,462978.0,370719.0,371815.5,388110.0,559011.0
27,508852.5,239011.49999999997,480190.5,386452.5,389104.5,399279.0,579793.5
28,485622.0,227689.5,456373.5,366613.5,366613.5,376456.5,556002.0
29,485443.50000000006,229066.49999999997,462289.5,372019.5,370285.5,377859.0,552636.0
30,479604.0,231463.5,460020.0,366154.5,363783.0,378241.5,546388.5
31,476671.50000000006,228327.0,455251.5,366817.5,365899.5,375003.0,553911.0
32,495082.5,233452.50000000003,467287.5,374850.0,373855.5,381582.0,563346.0
33,447882.0,217846.50000000003,428349.0,340323.0,346264.5,354093.0,511887.0
34,472617.0,225394.5,449565.00000000006,364242.0,361513.5,365491.50000000006,543787.5
35,498473.99999999994,235951.5,472846.50000000006,380052.0,383800.5,392827.5,575943.0
36,508827.0,243015.0,482230.5,389385.0,386937.00000000006,398845.5,585174.0
37,492022.5,231081.00000000003,461524.50000000006,371280.0,373932.0,386146.5,564264.0
38,492328.5,231132.0,462366.0,372019.5,369163.5,380154.0,557506.5
39,474759.00000000006,226848.0,451834.49999999994,362967.0,362865.0,372886.5,541161.0
40,502528.5,240286.5,476824.5,384361.5,383749.50000000006,394663.5,571965.0
41,487662.0,228939.0,460173.0,372784.49999999994,369316.49999999994,378879.0,558246.0
42,504747.0,237609.0,473636.99999999994,381531.0,380460.0,392802.0,578238.0
43,472438.5,225751.5,449488.5,361181.99999999994,366384.0,368373.0,545088.0
44,491359.5,231591.0,466726.5,371739.0,372580.5,382143.0,562402.5
45,429012.0,206116.5,411111.0,326578.5,325456.5,334254.0,494598.0
46,497020.5,235747.5,469327.5,375640.5,373167.0,390073.5,565845.0
47,495771.0,231744.0,469914.0,373778.99999999994,374773.5,387090.0,567834.0
48,502630.5,238578.0,475396.50000000006,386733.0,387727.5,394995.0,573112.5
49,491181.00000000006,234217.5,469990.5,373014.0,373039.5,384973.5,564901.5
50,418251.0,199078.5,397035.0,315409.5,318444.0,325788.00000000006,484194.0
51,493858.5,233605.5,468027.0,375156.0,373778.99999999994,387957.0,560847.0
52,502758.0,235059.0,474580.5,387192.0,384540.0,389716.5,575203.5
