,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,36490.5,162894.00000000003,319693.5,253113.0,254286.0,264766.5,386478.0
1,40315.5,175465.5,349911.0,279301.5,279148.5,290700.0,425084.99999999994
2,39627.0,179010.0,358555.50000000006,284452.5,287589.0,296029.5,431638.5
3,39193.5,176536.5,357561.0,285676.5,284197.5,296055.0,434061.0
4,36847.5,159706.5,321886.5,253725.0,256326.0,268107.0,394893.0
5,34068.0,153076.5,308524.5,247299.0,243754.5,255561.0,379695.0
6,34578.0,153000.0,301792.5,238731.0,238373.99999999997,244723.5,361717.5
7,32385.0,154351.5,308422.5,241306.50000000003,237991.5,252577.5,372606.0
8,15070.5,66070.5,119671.5,78820.5,78336.0,78820.5,124618.49999999999
9,39015.0,173272.5,344683.50000000006,277465.5,277185.0,286263.0,422305.5
10,39423.0,173986.5,341266.5,275196.0,274890.0,283254.0,420291.0
11,39295.5,180030.0,356438.99999999994,288405.0,285829.5,295213.5,442195.5
12,39474.0,176358.0,353736.0,280474.5,285421.5,292918.5,431970.0
13,37485.0,172941.0,341496.0,273462.0,275400.0,282081.0,422534.99999999994
14,38020.5,167025.0,341827.5,269076.0,269331.0,282922.5,411366.0
15,39015.0,175236.0,357663.0,287895.0,285574.5,292944.0,433347.0
16,37714.5,171461.99999999997,338028.0,268489.5,267367.5,277236.0,417384.0
17,37714.5,171360.0,342031.5,270478.5,269484.0,278358.0,414222.0
18,40672.5,180820.5,364191.0,291720.0,293479.5,302175.0,444286.5
19,36822.0,172558.49999999997,342847.49999999994,274380.0,273156.0,286033.5,415012.5
20,37867.5,171411.0,345423.0,273105.0,274176.0,280780.5,418480.5
21,38403.0,175312.5,348891.0,278511.0,279276.0,289807.5,427992.0
22,40264.49999999999,177658.5,358020.0,285268.5,287410.5,297916.5,435693.00000000006
23,39984.0,170952.0,341215.50000000006,274431.0,269866.5,279199.5,414145.5
24,36822.0,167127.0,333132.0,260788.5,261630.0,274533.0,404838.00000000006
25,37153.5,169753.5,338920.5,270810.0,270708.0,275451.0,410830.5
26,38683.5,174445.5,349401.0,278817.0,280245.0,294372.0,423657.0
27,41284.5,181049.99999999997,362814.0,291184.5,294627.0,301180.5,440538.0
28,39576.0,172737.0,344275.5,275094.0,274686.0,283228.5,422229.0
29,39754.5,173374.5,348584.99999999994,280755.0,278817.0,286033.5,418633.5
30,38275.5,175108.5,347922.0,275272.5,272977.5,284784.0,412539.0
31,37867.5,171334.5,344071.5,277338.0,274558.5,283407.0,419322.0
32,39168.0,177607.5,351849.0,282336.0,282234.0,286263.0,428961.0
33,34399.5,164169.00000000003,324130.5,256810.49999999997,261222.0,266373.0,388492.50000000006
34,37791.0,169141.5,338053.5,274456.5,271498.5,275017.5,413176.5
35,38709.0,179163.0,356031.0,286212.0,288634.5,296386.5,437274.0
36,39703.5,183549.0,363910.5,292944.0,291235.5,302787.0,444567.0
37,38479.5,174726.0,347157.0,280551.0,282667.5,290700.0,427660.5
38,39142.5,175440.0,350038.5,280296.0,278944.5,285982.5,423402.0
39,37969.5,171742.49999999997,343332.0,272875.5,272314.5,282591.0,409504.5
40,40723.50000000001,181508.99999999997,360621.0,289705.5,288838.5,299650.5,435769.49999999994
41,36669.0,172966.5,346468.5,278868.0,277720.5,285676.5,424269.0
42,38658.0,180412.49999999997,358810.5,286033.5,286671.0,297100.5,438064.5
43,37077.0,170008.49999999997,340144.5,273334.5,277618.5,277516.5,412309.5
44,38836.5,174547.5,350905.5,279505.5,279327.0,288354.0,425340.0
45,34093.5,154810.5,308116.5,245514.0,243525.0,250639.5,374289.0
46,40851.0,178729.5,354475.5,282361.5,281724.0,295443.0,429955.5
47,39295.5,176562.0,354705.0,280372.5,281214.0,291745.5,430261.5
48,39168.0,180897.0,358938.0,292536.0,292791.0,298197.0,435055.50000000006
49,39448.5,176995.5,354883.49999999994,280168.5,281928.0,291694.5,429241.5
50,34221.0,150271.5,298656.0,237583.5,239266.5,245386.5,365185.5
51,38836.5,176460.0,352869.0,283483.5,282361.5,292663.5,425697.0
52,39525.0,178423.5,357331.5,292077.0,290776.5,294831.0,436534.5
53,38173.5,173247.0,343612.5,275476.5,275068.5,283432.5,418659.0
54,40137.0,174904.5,351262.5,284019.0,280755.0,291847.5,425238.0
55,39907.5,173553.0,347131.5,275017.5,280270.5,286110.0,420112.5
56,39270.0,174522.0,348993.0,278995.5,279429.0,285523.5,419169.0
57,36847.5,165648.0,324003.0,264282.0,261069.0,270504.0,398667.0
58,37510.5,170620.5,338691.0,265608.0,270453.0,278307.0,409376.99999999994
59,40366.5,178500.00000000003,360952.5,291975.0,288966.0,301512.0,435106.5
60,39015.0,173654.99999999997,349528.5,279250.5,276241.5,283228.5,430057.5
61,38734.5,173145.0,352869.0,277567.5,281520.0,288838.5,422509.5
62,38709.0,173654.99999999997,351951.0,281061.0,284554.5,287028.0,424575.0
63,38556.0,173553.0,348126.0,278970.0,277185.0,283789.5,419934.0
64,40493.99999999999,181126.5,362151.0,290266.5,288150.0,297738.0,437860.5
65,38709.0,174700.5,346774.5,274456.5,278536.5,283432.5,416440.5
66,38964.0,171334.5,346800.0,274660.5,278638.5,286696.5,418429.50000000006
67,37714.5,170314.5,344301.0,268821.0,272161.5,280296.0,417996.0
