,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,488962.5,227868.0,477232.5,377502.0,379848.0,376201.5,542589.0
1,505945.5,233248.5,493068.0,391118.99999999994,396168.0,386911.5,559801.5
2,473586.0,223507.5,467976.0,364828.5,372580.5,367888.5,532542.0
3,488988.00000000006,226746.0,476085.0,376074.0,377757.0,371331.0,539937.0
4,485341.5,223609.5,476416.5,373116.0,376635.0,369265.5,538891.5
5,507093.0,235543.49999999997,491640.0,388951.5,389742.0,379389.0,554293.5
6,471086.99999999994,221238.0,462162.00000000006,368908.5,364165.5,361972.5,521831.99999999994
7,484729.5,225802.5,475014.0,369189.0,369163.5,368908.5,534327.0
8,491512.5,226210.5,469021.5,375513.0,378522.0,369444.0,538126.5
9,470526.0,217923.0,457827.0,360774.0,364599.0,356974.5,521169.0
10,437886.00000000006,205963.5,431434.5,339966.0,341088.0,333259.5,484857.0
11,423682.5,198823.5,416797.50000000006,326323.5,330990.0,321249.0,471903.0
12,497964.0,230724.0,483021.0,383494.5,384463.49999999994,376813.50000000006,550162.5
13,498525.0,231183.0,485112.0,383596.5,390761.99999999994,381709.5,556945.5
14,507399.0,232075.49999999997,492099.00000000006,389614.5,388747.5,384438.0,557404.5
15,488529.0,228709.50000000003,482791.5,381735.0,383902.5,378930.0,546618.0
16,475829.99999999994,224553.0,464559.0,370413.0,370260.0,361947.0,529558.5
17,492507.0,224374.5,479374.5,379032.0,381786.0,378624.0,543991.5
18,499672.50000000006,228837.0,482689.50000000006,379363.50000000006,383341.5,372402.0,546822.0
19,483403.49999999994,228225.0,472642.49999999994,370744.5,374110.5,370081.5,535678.5
20,449488.5,213078.0,443649.0,342363.0,347463.0,342031.5,499391.99999999994
21,471342.0,220345.5,460224.0,364854.00000000006,366078.0,357153.0,523642.5
22,500692.5,231259.50000000003,488478.0,384616.5,389538.0,380944.5,553069.5
23,449922.00000000006,210757.5,439084.5,346800.0,350956.5,344785.5,506914.5
24,494394.0,234192.0,486310.5,388492.50000000006,387115.5,380587.5,559011.0
25,490033.5,227562.0,482944.5,380205.0,386937.00000000006,377451.00000000006,549856.5
26,504441.0,236487.0,487279.5,388671.0,395275.5,388671.0,557022.0
27,478635.0,220626.0,462723.0,367710.0,370438.5,363145.5,524611.5
28,472464.0,217132.5,465834.0,363528.0,362737.49999999994,358402.5,520812.0
29,460377.0,216291.00000000003,455583.00000000006,361207.5,360060.0,353149.5,516375.00000000006
30,480828.0,223252.5,470883.0,365083.5,369367.5,363681.0,533842.5
31,486922.5,226440.0,476340.0,378624.0,379950.0,374748.0,547791.0
32,477207.0,219937.49999999997,461422.5,368704.5,369597.00000000006,362737.49999999994,526549.5
33,505282.5,231004.5,491155.5,389538.0,391986.0,385662.00000000006,560974.5
34,497275.5,231616.49999999997,487330.5,387523.5,388492.50000000006,377094.00000000006,552967.5
35,464176.5,218815.5,456679.5,353634.0,359549.99999999994,351186.0,514845.0
36,484219.5,227256.0,470398.5,372478.5,372912.0,370260.0,542410.5
37,458056.50000000006,213817.49999999997,449820.0,356592.0,361181.99999999994,351441.0,512754.0
38,495005.99999999994,228480.0,476136.0,378037.5,378369.00000000006,378343.5,545598.0
39,450432.0,211242.0,444949.5,347769.0,351594.0,342184.5,505333.50000000006
40,499213.5,233580.0,485851.5,385407.0,385713.0,381021.0,552636.0
41,473636.99999999994,219682.5,456705.0,367123.49999999994,364497.00000000006,357306.0,523489.5
42,504670.5,235416.0,490645.5,389742.0,387906.0,382347.0,561178.5
43,494904.0,232152.0,486387.0,384718.5,388135.50000000006,383851.5,549142.5
44,472311.0,215296.5,458184.0,358453.5,362890.5,358606.5,523081.5
45,463054.5,214047.0,449412.0,350140.49999999994,356388.0,352792.5,509592.0
46,492456.00000000006,229117.5,477946.50000000006,377502.0,382525.5,376278.0,550264.5
47,472361.99999999994,222870.0,462748.5,369240.00000000006,367480.49999999994,362584.5,526549.5
48,492379.50000000006,229984.50000000003,477232.5,382525.5,376992.0,374544.0,540523.5
49,509898.0,234931.5,493144.5,390201.0,391935.0,388084.5,556639.5
50,336498.0,162868.5,338002.5,256861.5,256479.0,253674.0,375513.0
51,498473.99999999994,230469.0,482740.5,384463.49999999994,383749.50000000006,375819.0,548785.5
52,510841.5,234192.0,489880.5,386146.5,393108.0,384489.0,555288.0
53,487305.0,227409.0,473407.5,382041.0,382576.5,375207.0,546388.5
54,500820.0,231437.99999999997,483429.0,380689.5,388263.0,377017.5,553324.5
55,501967.5,234039.0,486591.0,385100.99999999994,391807.5,382602.0,557022.0
56,490722.0,230978.99999999997,476697.0,380103.0,383953.5,376864.5,547357.5
57,498754.50000000006,230877.0,482587.5,379950.0,385866.0,375997.5,547842.0
58,483097.5,227409.0,478354.5,374238.0,379363.50000000006,370336.5,540166.5
59,453900.0,211981.5,447346.5,350625.0,350880.0,351288.0,506659.5
60,458082.0,218509.5,450508.5,358479.0,361539.0,352741.5,511275.00000000006
61,487509.0,225522.0,476901.0,376711.5,376839.0,370795.50000000006,538279.5
62,500004.0,229576.5,479119.5,385866.0,383137.5,378088.50000000006,551029.5
63,463947.0,219019.49999999997,448723.49999999994,356796.0,362355.0,354501.0,516757.5
64,511070.99999999994,236206.5,491436.0,389308.5,390940.5,384743.99999999994,562045.5
65,466420.5,216979.5,455685.0,359728.5,359932.5,354628.5,517191.0
66,487815.0,226720.5,478354.5,374416.49999999994,376966.5,375053.99999999994,539911.5
67,479374.5,223176.0,465655.5,369265.5,369214.5,367021.5,534327.0
68,503829.0,233452.50000000003,490339.5,394026.0,392368.5,384361.5,560464.5
69,476034.00000000006,220320.0,468741.0,370438.5,370387.5,363579.00000000006,531624.0
70,414298.5,194947.5,411723.0,319872.0,323544.0,318418.5,466063.49999999994
71,434443.5,201552.0,427839.00000000006,331780.5,334355.99999999994,333081.00000000006,491079.0
72,474019.5,222946.49999999997,465885.0,365236.5,367225.5,360187.49999999994,528589.5
73,497658.0,234345.0,482307.0,382627.5,386962.5,377706.0,551794.5
74,480369.0,225930.0,465961.5,370005.0,374799.0,369775.5,537795.0
75,492609.0,229194.0,481363.5,381327.0,384514.5,376992.0,544119.0
76,498907.5,226363.5,474274.5,376176.00000000006,378904.5,372835.5,544731.0
77,496587.0,230188.5,481975.5,385177.5,385305.00000000006,381021.0,546669.0
78,490543.50000000006,228837.0,477104.99999999994,380281.50000000006,382882.5,371280.0,544858.5
79,467185.50000000006,218943.00000000003,460887.00000000006,362380.49999999994,367837.5,360646.5,524280.0
80,479170.5,222640.5,464890.5,368577.0,373396.5,366231.0,534072.0
81,487330.5,222895.5,470322.0,371509.49999999994,377374.5,369750.0,535015.5
82,499647.0,228888.00000000003,484347.0,382168.5,385458.0,381684.0,548148.0
83,504364.5,233299.5,490977.0,384820.5,390660.0,381429.0,557736.0
84,502605.0,233529.0,489727.5,391425.0,389614.5,386197.5,557812.5
85,477870.0,222666.0,463437.00000000006,363757.5,369877.50000000006,361870.5,529558.5
86,468103.5,218713.5,457546.5,363349.5,368347.5,359218.5,520837.49999999994
87,505308.0,233325.0,488426.99999999994,391603.50000000006,390864.0,386197.5,560719.5
88,500922.0,231055.5,489982.49999999994,388059.0,389589.0,380638.50000000006,558246.0
89,502273.5,232228.5,485979.0,385713.0,388875.0,383392.5,549550.5
90,418633.5,198645.0,417460.5,322115.99999999994,327292.5,322524.0,471214.5
91,479680.5,226746.0,470959.5,371025.0,373651.5,367760.99999999994,529354.5
92,489676.5,227510.99999999997,475549.5,375844.5,376737.0,372912.0,540217.5
93,445204.5,210247.5,440946.0,341011.49999999994,344683.50000000006,336039.0,495694.5
94,505537.5,231514.5,490314.0,387396.0,389895.0,381786.0,555670.5
95,483429.0,225165.0,468792.0,372453.0,375870.0,364726.5,540574.5
96,472107.0,220651.5,461575.5,357892.5,365160.0,353608.49999999994,526855.5
97,475677.0,223176.0,468843.0,365746.5,368832.0,361131.0,527850.0
98,493782.0,227638.5,484601.99999999994,386095.5,384081.0,378547.5,548811.0
99,482052.00000000006,227766.0,476722.5,373728.0,380613.0,373396.5,545266.5
100,498066.0,230086.5,479400.0,380383.5,382245.0,375207.0,548811.0
101,491257.49999999994,229984.50000000003,479629.5,377323.5,381837.00000000006,377757.0,549270.0
