,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,427099.5,207621.00000000003,413584.5,326935.5,325507.50000000006,339736.49999999994,500182.5
1,388645.5,193494.0,380026.5,298120.5,299905.5,308142.0,456424.5
2,407617.5,197803.5,396831.0,320560.49999999994,315001.5,324564.0,485443.50000000006
3,415701.0,205147.49999999997,408561.0,319260.0,318546.0,333004.50000000006,488426.99999999994
4,357102.0,175873.5,346519.5,270580.5,269407.5,280092.0,414502.5
5,371458.5,187756.5,366664.5,288175.5,283636.5,300670.5,440895.0
6,398182.5,197880.0,388824.0,310845.0,306051.0,319693.5,472464.0
7,376686.0,187705.5,368449.5,287920.5,289807.5,299446.5,445383.0
8,364777.5,178729.5,353685.0,275553.0,275272.5,286288.5,423325.5
9,388875.0,192168.0,377425.5,299548.5,300517.5,307377.0,457138.50000000006
10,390226.5,193851.0,381123.0,298656.0,297202.5,312706.5,457189.5
11,401931.0,195330.0,386962.5,306637.5,304827.0,314109.0,463488.0
12,411238.5,202368.0,399432.0,312298.5,319744.5,327675.0,484015.5
13,413916.0,203464.5,409019.99999999994,315919.5,317806.5,330811.50000000006,486387.0
14,403027.5,197778.0,397723.5,308371.5,309519.0,323544.0,476747.99999999994
15,382219.5,189949.5,380893.5,294270.0,294856.5,305898.0,451095.0
16,416517.00000000006,208182.0,413890.5,323289.0,326323.5,331908.0,498882.0
17,337951.5,167331.0,334305.0,252756.0,255178.50000000003,266781.0,397749.0
18,391374.0,199180.5,384642.0,302659.5,303705.0,319387.5,462774.0
19,421795.5,207595.5,411876.0,320790.0,322192.5,336345.0,498015.0
20,420648.0,208309.5,413405.99999999994,324895.5,324589.49999999994,335835.00000000006,495975.0
21,387880.5,190612.5,378904.5,296998.5,296361.0,309519.0,455532.0
22,318342.0,161057.99999999997,316786.5,244723.5,246151.5,254643.0,383902.5
23,401599.5,198619.5,397800.0,308473.5,313318.5,319821.0,482383.5
24,394179.0,195891.0,389283.0,308932.5,308779.5,316965.0,469072.5
25,372606.0,185079.0,368934.0,290088.0,288940.5,297993.0,444643.5
26,386886.0,192015.00000000003,380587.5,300033.0,299064.0,313395.0,454486.5
27,392164.5,192397.5,378700.5,299293.5,300925.5,308524.5,459764.99999999994
28,372708.00000000006,184645.5,370081.5,287053.5,287716.5,299905.5,445230.0
29,392802.0,191453.99999999997,386248.5,300721.5,294856.5,309315.0,452548.5
30,401982.0,198339.0,403588.5,310998.0,308805.0,319056.0,473790.0
31,419118.0,209355.00000000003,417154.50000000006,326451.0,328567.5,343153.5,498448.5
32,321198.0,162052.5,323697.0,244417.5,242811.0,255713.99999999997,376711.5
33,396907.5,195253.5,384412.5,304368.0,303220.5,313573.5,463870.49999999994
34,424371.00000000006,204663.0,417256.5,324742.5,322498.5,335911.50000000006,499953.00000000006
35,417333.0,205045.5,405705.0,322115.99999999994,320790.0,335095.5,492099.00000000006
36,422560.5,205632.0,411493.50000000006,323390.99999999994,321478.49999999994,330709.5,490569.0
37,402160.5,201399.0,395147.99999999994,309876.0,311125.5,323595.00000000006,478176.0
38,405705.0,200123.99999999997,399508.5,309672.0,311227.5,325635.0,478507.5
39,413329.50000000006,201169.5,399916.5,316659.0,313395.0,326043.0,481236.0
40,385789.5,191683.5,379644.00000000006,295876.5,292944.0,307122.0,449692.5
41,362610.0,181126.5,360060.0,279301.5,281316.0,284911.5,435769.49999999994
42,426870.0,209355.00000000003,414757.5,328797.0,331500.0,340680.0,504058.50000000006
43,417052.5,202980.0,406674.0,321249.0,322371.0,331780.5,491206.5
44,314466.0,163506.0,323110.5,240694.5,245157.0,253521.0,374085.0
45,375385.5,189286.5,374926.5,290190.0,291006.0,303195.0,447066.0
46,426207.0,210043.5,417945.0,330964.5,327930.0,340782.0,500208.0
47,391807.5,195024.00000000003,386529.0,306331.5,302124.0,319158.0,458847.0
48,363069.0,178474.5,357918.00000000006,276165.0,273895.5,283942.5,423504.0
49,404149.5,200532.0,393745.5,307224.0,308448.0,318928.49999999994,473407.5
50,361080.0,179902.5,357306.0,276063.0,276012.0,291592.5,424294.5
51,271014.0,139791.0,271192.5,202393.5,198084.0,209992.50000000003,310921.5
52,374136.0,189745.5,371739.0,290521.5,290139.0,298273.5,446556.0
53,404022.0,202750.5,396933.0,309060.0,306204.0,320203.49999999994,473739.0
54,394485.0,196324.5,391578.0,304903.5,308218.5,317806.5,471342.0
55,396422.99999999994,194743.49999999997,393311.99999999994,302149.5,306510.0,317220.0,468511.5
56,412844.99999999994,204178.5,404404.5,320586.0,315639.0,331015.5,483097.5
57,434647.5,213409.5,426691.5,336905.99999999994,331908.0,350140.49999999994,508980.0
58,398233.5,198492.00000000003,395530.5,309417.0,308550.0,317985.0,473101.5
59,414324.00000000006,201730.5,407464.49999999994,319132.5,323697.0,334279.50000000006,490135.5
60,404736.0,197217.00000000003,397697.99999999994,312247.5,308703.0,320688.0,476059.5
61,377961.0,189312.0,377221.5,294703.5,290623.5,305107.5,448774.5
62,391323.00000000006,191632.5,390328.50000000006,304368.0,307122.0,313777.5,467211.0
63,379695.0,192652.50000000003,375844.5,298809.0,295723.5,307530.0,460122.0
64,419296.5,208080.00000000003,412794.0,326655.0,324513.00000000006,333514.5,499672.50000000006
65,411595.5,206524.50000000003,407974.5,316531.5,318877.5,330097.5,487840.5
66,427099.5,207468.0,417333.0,328338.00000000006,327930.0,339379.50000000006,501763.5
67,430797.0,210324.0,416873.99999999994,328618.50000000006,330301.5,340578.00000000006,504696.00000000006
68,377604.0,189108.0,368398.49999999994,289144.5,288838.5,299548.5,450534.0
69,412947.0,203158.5,397060.49999999994,313165.5,317602.5,331908.0,484372.5
70,436560.0,213868.5,429726.0,332953.5,337926.0,345244.5,514666.5
71,308626.5,157921.5,309774.0,235926.0,238042.5,247554.0,368628.0
72,406623.0,198670.49999999997,402900.0,308958.0,312120.0,322651.5,468868.5
73,348814.5,174063.0,344989.5,268540.5,266985.0,276343.5,411672.0
74,361998.0,180897.0,356209.5,279658.5,280525.5,288940.5,424294.5
75,385432.5,189592.5,379567.5,297712.5,296896.5,306816.0,459407.99999999994
76,399687.0,197370.0,387421.5,299778.0,301053.0,317322.0,468358.5
77,432786.0,208590.0,423019.5,340705.5,332647.5,346647.0,508852.5
78,24072.0,15070.5,25449.0,13209.0,12826.5,13719.0,21904.5
79,411544.5,202521.0,398998.5,314287.5,315027.0,324207.0,480904.5
80,388543.5,191224.5,380638.50000000006,300288.0,301359.0,316302.0,458362.5
81,345423.0,176052.0,343153.5,266296.5,268999.5,274737.0,412411.50000000006
82,375079.5,186889.49999999997,369189.0,288711.0,291822.0,303450.0,441966.0
83,396933.0,196477.49999999997,391221.0,305898.0,302863.5,314083.5,470296.5
84,429777.0,208641.0,412844.99999999994,330123.0,325762.5,338920.5,502452.0
85,409376.99999999994,201883.5,398947.5,315588.0,311890.5,325482.0,479374.5
86,408229.5,198160.5,398259.00000000006,315256.5,314007.0,325533.0,478966.5
87,410677.5,204637.5,405501.0,313981.5,314160.0,327369.0,477615.0
88,422611.49999999994,208258.50000000003,416873.99999999994,326986.5,325711.5,341725.5,497428.5
89,397749.0,194820.0,394893.0,308397.0,307045.5,315664.5,467109.0
90,414655.5,203694.00000000003,408433.5,320586.0,320994.0,331244.99999999994,491079.0
91,394969.5,197573.99999999997,390583.5,304546.5,303067.5,321249.0,471495.0
92,409504.5,197166.0,399202.5,316761.0,313675.5,327419.99999999994,481210.5
93,417945.0,200634.0,404761.5,315792.0,316812.0,328644.0,484525.50000000006
94,423606.0,203388.0,405960.0,320815.5,321963.0,330097.5,491334.0
95,388186.5,192091.49999999997,383647.5,299191.5,298860.0,308269.5,460912.5
96,420393.0,204790.50000000003,407286.0,326323.5,322422.0,335350.49999999994,498193.49999999994
97,427864.5,208666.5,421973.99999999994,332214.0,327955.5,342414.0,502095.0
98,386937.00000000006,193162.5,381939.0,300849.0,298120.5,309978.0,460887.00000000006
99,370923.0,185589.0,365619.0,282973.5,280653.0,291592.5,431536.5
100,402492.0,201603.0,399942.0,311406.0,315766.5,324028.49999999994,478711.5
101,413865.0,203949.0,406725.0,320458.5,324742.5,334432.5,490237.5
102,388059.0,187450.50000000003,378828.0,293734.5,298885.5,309315.0,458056.50000000006
103,418455.0,203362.5,406725.0,329332.49999999994,317296.5,332877.0,489727.5
104,379134.0,191020.5,375309.0,293352.0,294550.5,303067.5,452650.5
105,380562.00000000006,187450.50000000003,377935.5,290368.5,291822.0,305413.5,452931.0
106,431511.0,211216.5,419245.5,326655.0,330939.0,340833.0,501330.0
107,366741.0,186507.0,367123.49999999994,287665.5,286747.5,301053.0,444414.0
108,401293.5,196732.5,391552.5,309009.0,308830.5,318342.0,474682.5
109,394663.5,197370.0,386095.5,299089.5,298248.0,309289.5,456271.5
110,400758.0,198007.5,396295.5,311074.5,308218.5,321351.0,473331.0
111,325048.5,167101.5,316786.5,245743.5,247069.5,261579.0,384489.0
112,335860.5,166413.0,334712.99999999994,256300.5,257652.0,264537.0,396550.5
113,380154.0,190995.0,381429.0,297712.5,297177.0,304597.5,457317.0
114,341113.5,168147.0,339558.0,257805.0,258187.50000000003,264129.0,399075.0
115,346264.5,173272.5,341648.99999999994,262089.0,260074.5,273870.0,410907.0
116,415650.0,208284.0,409173.0,322957.50000000006,326706.00000000006,335962.5,497301.0
117,409937.99999999994,203949.0,398131.5,315690.0,317220.0,326374.5,484576.5
118,412105.5,205020.0,405144.0,321019.5,318342.0,333820.5,488682.0
119,432199.5,208794.0,418251.0,329740.5,328134.0,338410.5,502350.0
120,363502.5,184951.5,365874.0,282565.5,287946.0,296055.0,443623.50000000006
121,341648.99999999994,176485.49999999997,341190.0,267826.5,266347.5,277185.0,413227.5
122,440997.0,217030.5,428298.0,336804.0,336625.49999999994,347412.0,516451.49999999994
123,379797.0,190255.5,376992.0,293530.5,297712.5,307632.0,459867.0
124,372223.5,185155.49999999997,372274.5,281622.0,286722.0,296131.5,445000.5
125,379465.5,189898.5,377272.5,294499.5,295086.0,306535.5,458082.0
126,401038.5,197956.5,391476.0,307096.5,307071.0,319795.5,471189.0
127,373524.0,187348.49999999997,371917.5,287079.0,290037.0,301180.5,445535.99999999994
128,429853.5,210120.0,420648.0,331244.99999999994,334152.0,344454.0,503038.5
129,399967.5,196707.0,391068.0,307581.0,306280.5,316939.5,465018.0
130,404073.0,199359.0,392649.0,312324.0,305898.0,316353.0,472285.50000000006
131,387192.0,194667.0,378828.0,299115.0,298681.5,305796.0,454231.5
132,395403.0,195814.5,386605.5,301359.0,304546.5,313905.0,463386.0
133,370770.0,185665.5,374722.5,286798.5,288507.0,296998.5,443751.0
