,0-14,15-24,25-34,35-44,45-54,55-64,65+
0,128239.5,178143.0,352970.99999999994,277312.5,273436.5,290368.5,428247.0
1,121354.5,174420.0,346341.0,268183.5,268260.0,281902.5,412182.0
2,129438.0,183906.0,369112.5,287589.0,291516.0,296616.0,442756.5
3,115158.0,167152.5,331168.50000000006,259488.0,256581.0,266500.5,396422.99999999994
4,114444.00000000001,161364.0,321835.5,247324.50000000003,246330.0,259947.0,382474.50000000006
5,125281.5,179010.0,351849.0,273870.0,265684.5,282999.0,422178.00000000006
6,124822.5,175746.0,351925.5,276190.5,272671.5,285727.5,423504.0
7,125179.5,176409.0,352996.5,278638.5,279531.0,285702.0,423325.5
8,115107.0,163072.50000000003,325737.0,255994.49999999997,254260.49999999997,262267.5,395377.5
9,123496.5,179673.0,353761.5,278842.5,277440.0,288787.5,421107.0
10,132039.0,188547.00000000003,374850.0,297381.0,291643.5,308218.5,451707.0
11,124567.5,170952.0,338487.0,268515.0,264231.0,276853.5,406444.5
12,121609.50000000001,177046.5,348355.5,271192.5,269254.5,286365.0,415037.99999999994
13,133951.5,193162.5,382907.99999999994,299956.5,303016.5,317296.5,458694.00000000006
14,114392.99999999999,159604.50000000003,316990.5,244519.5,242811.0,254897.99999999997,375717.0
15,126989.99999999999,180642.0,359856.0,286237.5,282234.0,294270.0,433092.0
16,125587.5,182783.99999999997,359932.5,282004.5,283917.0,288889.5,435718.5
17,110236.5,156570.0,310998.0,241179.0,239266.5,246585.0,373243.5
18,125562.0,174802.5,348712.5,270708.0,274329.0,287512.5,421897.50000000006
19,119238.00000000001,168045.0,327930.0,258544.49999999997,259080.0,272748.0,404787.0
20,117019.5,165826.5,335274.00000000006,254719.50000000003,255637.50000000003,267801.0,395403.0
21,99424.49999999999,145656.0,279148.5,215857.5,212772.0,228760.5,336957.0
22,117223.49999999999,162511.5,323799.0,250461.0,252195.0,258391.5,386223.0
23,128723.99999999999,187246.5,368832.0,287436.0,288379.5,296080.5,442424.99999999994
24,123292.5,178500.00000000003,354220.5,278868.0,279658.5,286288.5,431689.5
25,115795.5,162664.5,329051.99999999994,258187.50000000003,253852.5,269866.5,398335.49999999994
26,127347.0,182554.5,366256.5,285778.5,284682.0,295392.0,436330.50000000006
27,126607.5,183829.5,361921.5,285982.5,287793.0,294601.5,435463.5
28,126989.99999999999,177913.5,355929.0,274354.5,275680.5,284299.5,423427.5
29,105646.5,148129.5,292434.0,228913.5,227307.0,234880.5,351237.0
30,130560.0,184058.99999999997,377935.5,295494.0,294346.5,306280.5,453823.5
31,113577.00000000001,160828.5,323161.5,248370.0,244213.49999999997,254668.5,382984.5
32,105850.5,152311.5,298069.5,230239.5,229219.5,237685.5,352741.5
33,128086.49999999999,181432.5,361105.50000000006,285141.0,283662.0,297304.5,435565.5
34,118014.0,165010.5,323467.5,254107.5,253495.5,261757.5,393898.5
35,131962.5,187425.0,369546.0,292765.5,288558.0,299268.0,443572.5
36,110415.0,150552.0,303093.0,234702.0,234115.5,242709.0,361845.0
37,118906.5,168886.5,334075.49999999994,261833.99999999997,265302.0,268234.5,407770.5
38,129897.0,185487.0,370285.5,293148.0,294193.5,308881.5,457801.5
39,108961.5,149506.5,295239.0,229857.0,229474.5,240465.0,352435.5
40,125562.0,173272.5,343408.50000000006,273589.5,271090.5,277618.5,416899.5
41,120309.0,167968.5,337926.0,261808.5,259590.0,273895.5,405577.5
42,122706.00000000001,176689.5,355801.49999999994,276828.0,279123.0,293250.0,430618.5
43,130381.5,182554.5,365950.5,289884.0,287895.0,295621.5,439569.0
44,98786.99999999999,140275.5,273513.0,203872.49999999997,206958.0,217438.5,321835.5
45,127296.0,183115.5,365313.0,288073.5,284988.0,296973.0,436381.5
46,125128.5,181917.0,361692.0,285702.0,282999.0,298885.5,436254.0
47,121941.0,176052.0,343510.5,267214.5,267214.5,280168.5,406674.0
48,119824.49999999999,174904.5,346060.5,271677.0,269790.0,283024.5,415650.0
49,134665.5,186966.0,376788.0,293505.0,293224.5,311610.0,446658.0
50,122629.5,176587.50000000003,355827.0,280831.5,279046.5,291898.5,425799.0
51,117452.99999999999,169830.00000000003,345295.5,260508.0,264384.0,277440.0,406317.0
52,121890.0,172813.5,338665.5,271600.5,267699.0,275884.5,416312.99999999994
53,113220.0,159859.5,315843.0,241969.5,246916.5,254643.0,380307.0
54,127678.50000000001,181508.99999999997,366409.50000000006,288175.5,288124.5,301461.0,441456.0
55,118932.0,167229.0,327751.5,257091.00000000003,257550.00000000003,270631.5,392878.50000000006
56,132243.0,189337.5,373345.50000000006,299064.0,295672.5,305362.5,451477.50000000006
57,125562.0,180387.0,352970.99999999994,280729.5,281902.5,294091.5,433882.5
58,125383.5,177607.5,358122.0,280398.0,282234.0,287920.5,430185.0
59,130611.0,184135.5,367837.5,289042.5,286084.5,301206.0,441022.5
60,128443.5,176868.0,350931.0,275170.5,275196.0,283152.0,420418.5
61,133059.0,191938.5,381199.50000000006,301384.5,302583.0,311992.5,460912.5
62,129973.5,184212.0,374187.0,292893.0,292128.0,301078.5,449718.0
63,116585.99999999999,168045.0,325686.0,253878.0,253597.5,265735.5,393108.0
64,134232.0,186099.0,373677.0,297024.0,295239.0,305719.5,451171.5
65,122272.5,174700.5,339915.0,265608.0,266730.0,279888.0,414528.0
66,135558.0,190077.0,381429.0,299574.0,300823.5,311176.5,460861.5
67,131350.5,187552.5,365848.49999999994,285702.0,287104.5,297202.5,439186.5
68,133416.0,185487.0,371305.5,292281.0,294652.5,305107.5,445892.99999999994
69,131452.5,185971.5,369189.0,289374.0,289909.5,301818.0,441303.0
70,129004.50000000001,180616.5,361794.0,280525.5,285447.0,295570.5,436458.0
71,111537.0,157131.0,310666.5,241026.00000000003,240337.5,251481.0,371790.00000000006
72,123547.5,174318.0,347284.5,267622.5,270784.5,279939.0,412615.5
73,124720.5,176485.49999999997,356821.5,277593.0,277695.0,286696.5,424345.5
74,125001.0,176001.0,349375.5,273793.5,273309.0,287206.5,428119.50000000006
75,127372.5,178729.5,353073.0,280882.5,281443.5,293326.5,430542.0
76,129590.99999999999,186379.5,361794.0,282973.5,281520.0,295009.5,436687.50000000006
77,129922.5,183090.0,365517.0,288328.5,290062.5,300211.5,442221.0
78,116101.5,168682.5,330913.5,252960.0,254872.5,265939.5,396142.49999999994
79,127448.99999999999,180744.0,358759.5,279225.0,277618.5,294321.0,428017.5
80,124644.0,179418.00000000003,358020.0,277822.5,278332.5,288685.5,430414.5
81,114877.5,165801.0,324691.5,253163.99999999997,256275.00000000003,265378.5,389512.5
82,118753.5,171920.99999999997,343026.0,266245.5,269560.5,276930.0,412819.5
83,122910.0,172635.0,348126.0,272085.0,271345.5,278511.0,417205.5
84,129871.50000000001,180438.0,358402.5,288685.5,285217.5,293199.0,441685.5
85,125638.5,175873.5,351645.0,276318.0,276292.5,287257.5,422994.0
86,133339.5,185512.5,371637.0,291490.5,294270.0,302634.0,446530.49999999994
87,129590.99999999999,180540.0,361972.5,283458.0,282616.5,295264.5,432097.5
88,128749.5,186864.0,372325.5,290139.0,290292.0,300670.5,441787.49999999994
89,124261.5,171946.5,340246.5,264486.0,267724.5,275910.0,409479.0
90,125919.0,178704.0,350982.00000000006,270988.5,274329.0,284325.0,422229.0
91,128698.5,186175.5,371994.0,290343.0,287589.0,300084.0,444312.0
92,122706.00000000001,176842.5,353914.5,274227.0,275196.0,286288.5,421438.5
93,116458.5,165801.0,330811.50000000006,259335.0,255688.5,265149.0,397851.0
94,130203.0,188521.5,376048.5,300823.5,293275.5,305745.0,454512.0
95,113755.49999999999,160241.99999999997,319132.5,242326.5,242964.0,252577.5,373702.50000000006
96,121864.5,173884.5,341266.5,268999.5,266628.0,277108.5,415879.50000000006
97,132549.0,184900.5,372555.0,292383.0,297942.0,308244.0,454180.5
98,129310.5,184033.5,365160.0,284299.5,287181.0,296565.0,439135.5
99,114954.0,164092.5,325456.5,253266.0,252195.0,262497.0,383979.0
100,110287.49999999999,156136.5,311686.5,240159.0,238986.0,247350.0,370413.0
101,123980.99999999999,176613.0,356974.5,277159.5,274762.5,287104.5,423453.00000000006
102,96185.99999999999,134130.0,262854.0,198415.5,201169.5,213537.0,315460.5
103,128137.50000000001,185410.5,367455.0,296004.0,290623.5,305770.5,451783.5
104,117504.00000000001,168478.5,337543.49999999994,260865.0,262063.5,278715.0,410703.0
105,123088.5,176536.5,349554.0,274788.0,276139.5,284376.0,422407.5
106,121762.5,168070.5,339889.5,271243.5,267724.5,275068.5,412462.5
107,127398.0,179239.5,349171.5,271549.5,271881.0,279582.0,415981.5
108,104550.0,147160.5,286620.0,225420.00000000003,222079.5,237532.5,343179.0
109,125179.5,183268.5,358198.50000000006,287232.0,285600.0,297432.0,431205.0
110,125026.5,181687.49999999997,364522.5,286212.0,285090.0,297840.0,438599.99999999994
111,113832.0,163990.50000000003,325201.5,250486.5,250945.5,260941.5,392751.0
112,126352.49999999999,180795.0,355954.5,277414.5,281775.0,287436.0,427788.0
113,117121.5,165546.0,325354.5,254719.50000000003,253138.5,264129.0,392674.49999999994
114,102867.0,149685.0,296871.0,229500.0,228276.0,240516.0,354730.50000000006
115,123853.5,176562.0,354807.00000000006,275782.5,275043.0,281979.0,424014.0
116,133569.0,191607.0,379593.0,298936.5,299956.5,312553.5,458337.0
117,124134.0,179214.0,356745.0,278077.5,279582.0,296284.5,425926.50000000006
118,134614.5,193468.50000000003,387600.0,305617.5,305005.5,315154.5,461320.49999999994
119,126122.99999999999,183549.0,368347.5,283305.0,282718.5,296463.0,438549.0
120,120334.5,170008.49999999997,339201.0,265965.0,265098.0,273793.5,408280.5
121,114775.5,160395.0,319999.5,246100.5,250843.5,254311.5,382245.0
122,131656.5,180718.5,362814.0,284172.0,283024.5,299038.5,443342.99999999994
123,119212.5,169549.49999999997,336548.99999999994,263083.5,263032.5,273895.5,403486.5
124,134079.0,192831.00000000003,380613.0,299650.5,298401.0,307045.5,454614.0
125,122094.0,173935.50000000003,345652.5,270223.5,271804.5,277236.0,416695.5
126,132829.5,188241.0,380485.5,296412.0,296641.5,309748.5,451018.5
127,119722.5,171283.49999999997,343841.99999999994,265735.5,261630.0,279429.0,408561.0
128,119110.5,174394.50000000003,343995.0,272289.0,271090.5,281647.5,413227.5
129,114036.0,161823.0,319565.99999999994,249262.5,251149.49999999997,261961.5,386988.0
130,129922.5,186405.0,365313.0,289501.5,290649.0,298656.0,444261.00000000006
131,130101.0,192346.5,379924.5,297253.5,295239.0,312757.5,458617.5
132,128112.0,178168.5,351339.00000000006,272110.5,273283.5,287742.0,418633.5
133,131962.5,182044.5,363171.0,282157.5,286696.5,295545.0,431154.0
134,127117.5,182376.0,360621.0,283483.5,286288.5,297891.0,435106.5
135,119289.0,170799.0,342159.0,264562.5,270835.5,278460.0,412615.5
136,131503.5,189975.0,379287.0,295086.0,300288.0,307683.0,458694.00000000006
137,125842.5,173833.5,352537.50000000006,269586.0,271728.0,280398.0,413737.5
138,124338.0,172405.5,343561.5,266679.0,269331.0,279123.0,413457.0
139,130432.5,187195.5,371968.5,288838.5,290037.0,301843.5,446122.5
140,123649.5,175618.5,346341.0,272161.5,269560.5,280857.0,419092.5
141,129055.5,186379.5,371050.5,285778.5,291159.0,302710.5,447397.5
142,124388.99999999999,181483.5,356235.0,277720.5,278179.5,288532.5,429547.5
143,124924.5,174445.5,345627.0,270249.0,272085.0,280296.0,415726.5
144,120946.5,170645.99999999997,336166.5,266857.5,267189.0,275425.5,402976.5
145,134334.0,186991.50000000003,368449.5,294907.5,292230.0,305974.5,450253.5
146,116229.0,168402.0,326527.5,254515.5,251098.5,262930.5,394026.0
147,124950.0,173910.0,350599.5,271422.0,276751.5,278485.5,417562.5
148,114240.0,166056.0,326145.00000000006,257091.00000000003,256172.99999999997,268030.5,391679.99999999994
149,127755.0,183345.0,359193.00000000006,279378.0,285345.0,297151.5,433551.0
150,125944.50000000001,179061.0,354220.5,279429.0,280831.5,289195.5,427711.5
151,120130.5,171334.5,340986.0,270937.5,265812.0,280296.0,416542.5
152,123700.5,179571.0,350829.0,277771.5,276879.0,286339.5,422050.5
153,125613.0,170824.49999999997,340195.5,270402.0,263823.0,272263.5,410907.0
154,137751.0,191785.5,375971.99999999994,302812.5,300823.5,311712.0,457291.5
155,129132.0,185206.5,371101.5,289756.5,287461.5,293275.5,441073.50000000006
156,122043.0,175542.0,348253.5,268770.0,273946.5,282999.0,421107.0
